scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
wem;2018;29958;29028;31017;26432;31152;28084;31152;31152;31152;24780;21476;26432
wem;2019;29174;28268;30205;25740;30336;27348;30336;30336;30336;24131;20913;25740
wem;2020;28547;27660;29556;25187;29684;26761;29684;29684;29684;23612;20464;25187
wem;2021;28281;27403;29281;24952;29408;26512;29408;29408;29408;23393;20274;24952
wem;2022;27814;26951;28797;24540;28923;26074;28923;28923;28923;23007;19939;24540
wem;2023;27230;26385;28193;24025;28315;25527;28315;28315;28315;22524;19520;24025
wem;2024;26646;25819;27588;23510;27708;24979;27708;27708;27708;22040;19102;23510
wem;2025;26199;25386;27125;23115;27243;24560;27243;27243;27243;21671;18781;23115
wem;2026;25704;24906;26613;22679;26728;24096;26728;26728;26728;21261;18426;22679
wem;2027;25138;24357;26026;22179;26139;23565;26139;26139;26139;20793;18020;22179
wem;2028;24626;23861;25496;21727;25607;23085;25607;25607;25607;20369;17653;21727
wem;2029;24120;23371;24973;21281;25081;22611;25081;25081;25081;19951;17291;21281
wem;2030;23567;22835;24400;20793;24506;22093;24506;24506;24506;19494;16895;20793
wem;2031;22967;22253;23778;20263;23882;21530;23882;23882;23882;18997;16464;20263
wem;2032;22355;21661;23145;19724;23246;20957;23246;23246;23246;18491;16026;19724
wem;2033;21769;21093;22538;19207;22636;20407;22636;22636;22636;18006;15605;19207
wem;2034;21177;20520;21926;18685;22021;19852;22021;22021;22021;17517;15181;18685
wem;2035;20575;19936;21302;18153;21395;19287;21395;21395;21395;17018;14749;18153
wem;2036;19977;19357;20683;17626;20773;18727;20773;20773;20773;16524;14321;17626
wem;2037;19387;18785;20073;17105;20160;18174;20160;20160;20160;16036;13898;17105
wem;2038;18781;18197;19444;16570;19529;17606;19529;19529;19529;15534;13463;16570
wem;2039;18177;17612;18819;16037;18901;17039;18901;18901;18901;15035;13030;16037
wem;2040;17577;17032;18199;15508;18278;16478;18278;18278;18278;14539;12601;15508
wem;2041;16979;16452;17579;14980;17655;15917;17655;17655;17655;14044;12171;14980
wem;2042;16377;15869;16956;14450;17030;15353;17030;17030;17030;13547;11740;14450
wem;2043;15820;15329;16379;13958;16451;14830;16451;16451;16451;13086;11341;13958
wem;2044;15263;14789;15802;13466;15871;14308;15871;15871;15871;12625;10941;13466
wem;2045;14699;14242;15218;12969;15284;13779;15284;15284;15284;12158;10537;12969
wem;2046;14153;13714;14653;12487;14717;13268;14717;14717;14717;11707;10146;12487
wem;2047;13590;13168;14070;11990;14131;12739;14131;14131;14131;11241;9742;11990
wem;2048;13017;12612;13477;11484;13535;12202;13535;13535;13535;10767;9331;11484
wem;2049;12445;12059;12885;10980;12941;11667;12941;12941;12941;10294;8922;10980
wem;2050;11876;11507;12296;10478;12349;11133;12349;12349;12349;9823;8513;10478
eu80;2018;29974;29043;31033;26446;31168;28099;31168;31168;31168;24793;21487;26446
eu80;2019;29204;28297;30236;25766;30368;27377;30368;30368;30368;24156;20935;25766
eu80;2020;28586;27699;29597;25221;29725;26798;29725;29725;29725;23645;20492;25221
eu80;2021;28096;27224;29089;24789;29216;26338;29216;29216;29216;23240;20141;24789
eu80;2022;27257;26410;28220;24049;28343;25552;28343;28343;28343;22545;19539;24049
eu80;2023;26399;25579;27332;23292;27451;24747;27451;27451;27451;21836;18924;23292
eu80;2024;25547;24754;26450;22540;26565;23949;26565;26565;26565;21131;18314;22540
eu80;2025;24824;24054;25702;21902;25814;23271;25814;25814;25814;20533;17796;21902
eu80;2026;24023;23277;24872;21195;24980;22520;24980;24980;24980;19870;17221;21195
eu80;2027;23164;22444;23982;20437;24086;21714;24086;24086;24086;19160;16605;20437
eu80;2028;22312;21619;23100;19685;23200;20916;23200;23200;23200;18455;15994;19685
eu80;2029;21473;20806;22232;18945;22328;20129;22328;22328;22328;17761;15393;18945
eu80;2030;20577;19938;21304;18155;21397;19290;21397;21397;21397;17020;14751;18155
eu80;2031;19928;19310;20633;17583;20722;18682;20722;20722;20722;16484;14286;17583
eu80;2032;19267;18668;19948;16999;20034;18061;20034;20034;20034;15936;13812;16999
