scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
wem;2018;35168;34076;36411;31232;34644;31232;36569;34644;36569;27558;23884;29395
wem;2019;34238;33175;35448;30407;33728;30407;35602;33728;35602;26829;23252;28618
wem;2020;34545;33472;35766;30679;34030;30679;35921;34030;35921;27070;23460;28874
wem;2021;34608;33533;35831;30735;34093;30735;35987;34093;35987;27119;23504;28927
wem;2022;33857;32805;35053;30068;33353;30068;35206;33353;35206;26531;22993;28299
wem;2023;32665;31651;33820;29010;32179;29010;33967;32179;33967;25597;22184;27303
wem;2024;31481;30504;32594;27958;31013;27958;32736;31013;32736;24669;21380;26314
wem;2025;30747;29792;31834;27306;30289;27306;31972;30289;31972;24094;20881;25700
wem;2026;29913;28984;30970;26565;29467;26565;31104;29467;31104;23440;20315;25003
wem;2027;28865;27969;29885;25635;28435;25635;30015;28435;30015;22619;19603;24127
wem;2028;28019;27149;29009;24883;27602;24883;29135;27602;29135;21956;19029;23420
wem;2029;27186;26342;28147;24144;26781;24144;28269;26781;28269;21303;18463;22723
wem;2030;26176;25363;27101;23247;25786;23247;27219;25786;27219;20512;17777;21879
wem;2031;25494;24702;26395;22641;25114;22641;26509;25114;26509;19977;17313;21309
wem;2032;24783;24013;25659;22010;24414;22010;25770;24414;25770;19420;16831;20715
wem;2033;24168;23417;25022;21463;23808;21463;25131;23808;25131;18938;16413;20201
wem;2034;23526;22795;24357;20893;23176;20893;24463;23176;24463;18435;15977;19664
wem;2035;22834;22125;23641;20279;22494;20279;23743;22494;23743;17893;15507;19086
wem;2036;22149;21461;22931;19670;21819;19670;23031;21819;23031;17356;15042;18513
wem;2037;21483;20816;22242;19079;21163;19079;22339;21163;22339;16834;14590;17956
wem;2038;20745;20101;21478;18423;20436;18423;21571;20436;21571;16256;14088;17340
wem;2039;20008;19387;20715;17769;19711;17769;20806;19711;20806;15679;13588;16724
wem;2040;19280;18682;19962;17123;18993;17123;20049;18993;20049;15108;13094;16116
wem;2041;18548;17972;19204;16473;18272;16473;19287;18272;19287;14535;12597;15504
wem;2042;17802;17249;18432;15810;17537;15810;18512;17537;18512;13950;12090;14880
wem;2043;17217;16682;17826;15290;16961;15290;17903;16961;17903;13492;11693;14391
wem;2044;16625;16109;17213;14765;16378;14765;17288;16378;17288;13028;11291;13896
wem;2045;16001;15504;16566;14210;15762;14210;16638;15762;16638;12538;10867;13374
wem;2046;15439;14960;15985;13712;15210;13712;16054;15210;16054;12098;10485;12905
wem;2047;14807;14347;15330;13150;14586;13150;15396;14586;15396;11603;10056;12376
wem;2048;14132;13693;14632;12551;13922;12551;14695;13922;14695;11074;9598;11813
wem;2049;13460;13042;13936;11954;13260;11954;13996;13260;13996;10547;9141;11251
wem;2050;12790;12393;13242;11359;12599;11359;13299;12599;13299;10022;8686;10690
eu80;2018;35178;34086;36422;31242;34655;31242;36580;34655;36580;27566;23891;29404
eu80;2019;34258;33194;35469;30424;33748;30424;35623;33748;35623;26845;23266;28635
eu80;2020;34548;33475;35769;30682;34034;30682;35924;34034;35924;27072;23463;28877
eu80;2021;34094;33035;35299;30279;33587;30279;35452;33587;35452;26717;23154;28498
eu80;2022;33376;32340;34556;29641;32880;29641;34706;32880;34706;26154;22667;27898
eu80;2023;32020;31025;33151;28437;31543;28437;33295;31543;33295;25091;21746;26764
eu80;2024;30675;29723;31759;27243;30219;27243;31898;30219;31898;24038;20833;25640
