scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
wemp;2018;70478;68290;72969;62591;69429;62591;73286;69429;73286;55228;47864;58910
wemp;2019;66605;64537;68959;59152;65614;59152;69259;65614;69259;52193;45234;55672
wemp;2020;61827;59907;64013;54909;60907;54909;64291;60907;64291;48449;41989;51679
wemp;2021;62324;60389;64527;55350;61397;55350;64808;61397;64808;48838;42327;52094
wemp;2022;60041;58176;62163;53322;59147;53322;62433;59147;62433;47049;40776;50185
wemp;2023;56159;54415;58144;49875;55323;49875;58397;55323;58397;44007;38139;46941
wemp;2024;54408;52719;56331;48320;53599;48320;56576;53599;56576;42635;36951;45478
wemp;2025;53674;52008;55571;47668;52876;47668;55813;52876;55813;42060;36452;44864
wemp;2026;52547;50915;54404;46667;51765;46667;54641;51765;54641;41177;35686;43922
wemp;2027;50893;49312;52691;45198;50135;45198;52921;50135;52921;39880;34563;42539
wemp;2028;49342;47809;51086;43820;48607;43820;51308;48607;51308;38665;33510;41243
wemp;2029;48074;46582;49774;42695;47359;42695;49990;47359;49990;37672;32649;40183
wemp;2030;46737;45286;48389;41507;46042;41507;48600;46042;48600;36624;31741;39066
wemp;2031;45606;44190;47218;40503;44927;40503;47423;44927;47423;35738;30973;38120
wemp;2032;44327;42951;45894;39367;43667;39367;46093;43667;46093;34735;30104;37051
wemp;2033;42984;41649;44503;38174;42344;38174;44697;42344;44697;33683;29192;35929
wemp;2034;41608;40316;43079;36952;40989;36952;43266;40989;43266;32605;28257;34778
wemp;2035;40216;38967;41638;35716;39618;35716;41819;39618;41819;31514;27312;33615
wemp;2036;38839;37633;40212;34493;38261;34493;40386;38261;40386;30435;26377;32464
wemp;2037;37464;36301;38788;33272;36907;33272;38957;36907;38957;29358;25443;31315
wemp;2038;36082;34961;37357;32044;35545;32044;37519;35545;37519;28274;24504;30159
wemp;2039;34706;33628;35932;30822;34189;30822;36089;34189;36089;27196;23570;29009
wemp;2040;33348;32312;34526;29616;32851;29616;34677;32851;34677;26132;22648;27874
wemp;2041;32107;31110;33241;28514;31629;28514;33386;31629;33386;25159;21805;26836
wemp;2042;30855;29896;31945;27402;30395;27402;32084;30395;32084;24178;20954;25790
wemp;2043;29618;28699;30665;26304;29178;26304;30799;29178;30799;23209;20115;24757
wemp;2044;28395;27513;29398;25217;27972;25217;29526;27972;29526;22250;19284;23734
wemp;2045;27185;26340;28145;24143;26780;24143;28268;26780;28268;21302;18462;22722
wemp;2046;25994;25186;26912;23085;25607;23085;27029;25607;27029;20369;17653;21727
wemp;2047;24814;24043;25691;22037;24444;22037;25802;24444;25802;19444;16852;20741
wemp;2048;23654;22920;24490;21007;23302;21007;24597;23302;24597;18536;16064;19771
wemp;2049;22516;21817;23312;19996;22181;19996;23413;22181;23413;17644;15291;18820
wemp;2050;21401;20737;22157;19006;21083;19006;22254;21083;22254;16770;14534;17888
wemh;2018;70503;68314;72995;62613;69454;62613;73312;69454;73312;55247;47881;58930
