scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
wem;2018;9999;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2018;1920;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2018;1929;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2018;1939;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018
wem;2018;1949;0.028;0.028;0.028;0.028;0.028;0.028;0.028;0.028;0.028;0.028;0.028;0.028
wem;2018;1959;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
wem;2018;1969;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
wem;2018;1979;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
wem;2018;1989;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
wem;2018;1999;0;0;0;0;0;0;0;0;0;0;0;0
wem;2018;2009;0;0;0;0;0;0;0;0;0;0;0;0
wem;2018;2010;0;0;0;0;0;0;0;0;0;0;0;0
wem;2018;2018;0;0;0;0;0;0;0;0;0;0;0;0
wem;2019;9999;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2019;1920;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2019;1929;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2019;1939;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
wem;2019;1949;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
wem;2019;1959;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
wem;2019;1969;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
wem;2019;1979;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
wem;2019;1989;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
wem;2019;1999;0;0;0;0;0;0;0;0;0;0;0;0
wem;2019;2009;0;0;0;0;0;0;0;0;0;0;0;0
wem;2019;2010;0;0;0;0;0;0;0;0;0;0;0;0
wem;2019;2018;0;0;0;0;0;0;0;0;0;0;0;0
wem;2019;2019;0;0;0;0;0;0;0;0;0;0;0;0
