scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
wemp;2018;27;26;28;38;42;38;42;42;42;34;29;36
wemp;2019;23;22;23;32;35;32;35;35;35;28;24;30
wemp;2020;17;16;18;24;26;24;26;26;26;21;18;22
wemp;2021;19;18;19;26;29;26;29;29;29;23;20;25
wemp;2022;17;16;17;23;26;23;26;26;26;21;18;22
wemp;2023;13;12;13;18;20;18;20;20;20;16;14;17
wemp;2024;12;12;12;17;19;17;19;19;19;15;13;16
wemp;2025;12;11;12;16;18;16;18;18;18;14;13;15
wemp;2026;11;11;11;16;17;16;17;17;17;14;12;15
wemp;2027;10;10;11;15;16;15;16;16;16;13;11;14
wemp;2028;10;10;10;14;15;14;15;15;15;12;11;13
wemp;2029;9;9;10;13;15;13;15;15;15;12;10;12
wemp;2030;9;8;9;12;14;12;14;14;14;11;9;12
wemp;2031;9;8;9;12;13;12;13;13;13;11;9;11
wemp;2032;8;8;9;12;13;12;13;13;13;10;9;11
wemp;2033;8;8;8;11;13;11;13;13;13;10;9;11
wemp;2034;8;8;8;11;12;11;12;12;12;10;8;10
wemp;2035;8;7;8;11;12;11;12;12;12;9;8;10
wemp;2036;7;7;8;10;12;10;12;12;12;9;8;10
wemp;2037;7;7;7;10;11;10;11;11;11;9;8;9
wemp;2038;7;7;7;10;11;10;11;11;11;9;7;9
wemp;2039;7;6;7;9;10;9;10;10;10;8;7;9
wemp;2040;6;6;7;9;10;9;10;10;10;8;7;9
wemp;2041;6;6;7;9;10;9;10;10;10;8;7;8
wemp;2042;6;6;6;9;10;9;10;10;10;8;7;8
wemp;2043;6;6;6;9;10;9;10;10;10;8;7;8
wemp;2044;6;6;6;9;9;9;9;9;9;8;7;8
wemp;2045;6;6;6;8;9;8;9;9;9;7;6;8
wemp;2046;6;6;6;8;9;8;9;9;9;7;6;8
wemp;2047;6;6;6;8;9;8;9;9;9;7;6;8
wemp;2048;6;5;6;8;9;8;9;9;9;7;6;7
wemp;2049;5;5;6;8;9;8;9;9;9;7;6;7
wemp;2050;5;5;6;8;8;8;8;8;8;7;6;7
wemh;2018;27;26;28;38;42;38;42;42;42;34;29;36
wemh;2019;23;22;23;32;35;32;35;35;35;28;24;30
wemh;2020;17;16;18;24;26;24;26;26;26;21;18;22
wemh;2021;19;18;19;26;29;26;29;29;29;23;20;25
wemh;2022;17;16;17;23;26;23;26;26;26;21;18;22
wemh;2023;13;12;13;18;20;18;20;20;20;16;14;17
wemh;2024;12;12;12;17;19;17;19;19;19;15;13;16
wemh;2025;12;11;12;16;18;16;18;18;18;14;13;15
wemh;2026;11;11;11;16;17;16;17;17;17;14;12;15
wemh;2027;10;10;11;15;16;15;16;16;16;13;11;14
wemh;2028;10;10;10;14;15;14;15;15;15;12;11;13
wemh;2029;9;9;10;13;15;13;15;15;15;12;10;12
wemh;2030;9;8;9;12;14;12;14;14;14;11;9;12
wemh;2031;9;8;9;12;13;12;13;13;13;11;9;11
wemh;2032;8;8;9;12;13;12;13;13;13;10;9;11
wemh;2033;8;8;8;11;13;11;13;13;13;10;9;11
wemh;2034;8;8;8;11;12;11;12;12;12;10;8;10
wemh;2035;8;7;8;11;12;11;12;12;12;9;8;10
wemh;2036;7;7;8;10;12;10;12;12;12;9;8;10
wemh;2037;7;7;7;10;11;10;11;11;11;9;8;9
wemh;2038;7;7;7;10;11;10;11;11;11;9;7;9
wemh;2039;7;6;7;9;10;9;10;10;10;8;7;9
wemh;2040;6;6;7;9;10;9;10;10;10;8;7;9
wemh;2041;6;6;7;9;10;9;10;10;10;8;7;8
wemh;2042;6;6;6;9;10;9;10;10;10;8;7;8
