scenario;rakv;rakennus_tyyppi;jaahdytys_osuus;jaahdytys_kwhm2;jaahdytys_kaukok;jaahdytys_sahko;jaahdytys_pumput;jaahdytys_muu
wem;9999;erpien;1;0.1;0;1;0;0
wem;9999;rivita;1;0;0;1;0;0
wem;9999;askert;1;0;0;1;0;0
wem;9999;liike;1;1;0;1;0;0
wem;9999;tsto;1;1;0;1;0;0
wem;9999;liiken;1;1;0;1;0;0
wem;9999;hoito;1;1;0;1;0;0
wem;9999;kokoon;1;1;0;1;0;0
wem;9999;opetus;1;1;0;1;0;0
wem;9999;teoll;0;0.2;0;1;0;0
wem;9999;varast;1;0.2;0;1;0;0
wem;9999;muut;1;1;0;1;0;0
wem;1920;erpien;1;0.1;0;1;0;0
wem;1920;rivita;1;0;0;1;0;0
wem;1920;askert;1;0;0;1;0;0
wem;1920;liike;1;1;0;1;0;0
wem;1920;tsto;1;1;0;1;0;0
wem;1920;liiken;1;1;0;1;0;0
wem;1920;hoito;1;1;0;1;0;0
wem;1920;kokoon;1;1;0;1;0;0
wem;1920;opetus;1;1;0;1;0;0
wem;1920;teoll;0;0.2;0;1;0;0
wem;1920;varast;1;0.2;0;1;0;0
wem;1920;muut;1;1;0;1;0;0
wem;1929;erpien;1;0.1;0;1;0;0
wem;1929;rivita;1;0;0;1;0;0
wem;1929;askert;1;0;0;1;0;0
wem;1929;liike;1;1;0;1;0;0
wem;1929;tsto;1;1;0;1;0;0
wem;1929;liiken;1;1;0;1;0;0
wem;1929;hoito;1;1;0;1;0;0
wem;1929;kokoon;1;1;0;1;0;0
wem;1929;opetus;1;1;0;1;0;0
wem;1929;teoll;0;0.2;0;1;0;0
wem;1929;varast;1;0.2;0;1;0;0
wem;1929;muut;1;1;0;1;0;0
wem;1939;erpien;1;0.1;0;1;0;0
wem;1939;rivita;1;0;0;1;0;0
wem;1939;askert;1;0;0;1;0;0
wem;1939;liike;1;1;0;1;0;0
wem;1939;tsto;1;1;0;1;0;0
wem;1939;liiken;1;1;0;1;0;0
wem;1939;hoito;1;1;0;1;0;0
wem;1939;kokoon;1;1;0;1;0;0
wem;1939;opetus;1;1;0;1;0;0
wem;1939;teoll;0;0.2;0;1;0;0
wem;1939;varast;1;0.2;0;1;0;0
wem;1939;muut;1;1;0;1;0;0
wem;1949;erpien;1;0.1;0;1;0;0
wem;1949;rivita;1;0;0;1;0;0
wem;1949;askert;1;0;0;1;0;0
wem;1949;liike;1;1;0;1;0;0
wem;1949;tsto;1;1;0;1;0;0
wem;1949;liiken;1;1;0;1;0;0
wem;1949;hoito;1;1;0;1;0;0
wem;1949;kokoon;1;1;0;1;0;0
wem;1949;opetus;1;1;0;1;0;0
wem;1949;teoll;0;0.2;0;1;0;0
wem;1949;varast;1;0.2;0;1;0;0
wem;1949;muut;1;1;0;1;0;0
wem;1959;erpien;1;0.1;0;1;0;0
wem;1959;rivita;1;0;0;1;0;0
wem;1959;askert;1;0;0;1;0;0
wem;1959;liike;1;1;0;1;0;0
wem;1959;tsto;1;1;0;1;0;0
wem;1959;liiken;1;1;0;1;0;0
wem;1959;hoito;1;1;0;1;0;0
wem;1959;kokoon;1;1;0;1;0;0
wem;1959;opetus;1;1;0;1;0;0
wem;1959;teoll;0;0.2;0;1;0;0
wem;1959;varast;1;0.2;0;1;0;0
wem;1959;muut;1;1;0;1;0;0
wem;1969;erpien;1;0.2;0;1;0;0
wem;1969;rivita;1;0;0;1;0;0
wem;1969;askert;1;0;0;1;0;0
wem;1969;liike;1;2.4;0;1;0;0
wem;1969;tsto;1;2;0;1;0;0
wem;1969;liiken;1;2;0;1;0;0
wem;1969;hoito;1;2;0;1;0;0
wem;1969;kokoon;1;2;0;1;0;0
wem;1969;opetus;1;2;0;1;0;0
wem;1969;teoll;0;0.6;0;1;0;0
wem;1969;varast;1;0.6;0;1;0;0
wem;1969;muut;1;2;0;1;0;0
wem;1979;erpien;1;0.4;0;1;0;0
wem;1979;rivita;1;0;0;1;0;0
wem;1979;askert;1;0;0;1;0;0
wem;1979;liike;1;4.8;0;1;0;0
wem;1979;tsto;1;4;0;1;0;0
wem;1979;liiken;1;4;0;1;0;0
wem;1979;hoito;1;4;0;1;0;0
wem;1979;kokoon;1;4;0;1;0;0
wem;1979;opetus;1;4;0;1;0;0
wem;1979;teoll;0;1.2;0;1;0;0
wem;1979;varast;1;1.2;0;1;0;0
wem;1979;muut;1;4;0;1;0;0
wem;1989;erpien;1;0.6;0;1;0;0
wem;1989;rivita;1;0;0;1;0;0
wem;1989;askert;1;0;0;1;0;0
wem;1989;liike;1;7.2;0;1;0;0
wem;1989;tsto;1;6;0;1;0;0
wem;1989;liiken;1;6;0;1;0;0
wem;1989;hoito;1;6;0;1;0;0
wem;1989;kokoon;1;6;0;1;0;0
wem;1989;opetus;1;6;0;1;0;0
wem;1989;teoll;0;1.8;0;1;0;0
wem;1989;varast;1;1.8;0;1;0;0
wem;1989;muut;1;6;0;1;0;0
wem;1999;erpien;1;0.8;0;1;0;0
wem;1999;rivita;1;0;0;1;0;0
wem;1999;askert;1;0;0;1;0;0
wem;1999;liike;1;9.6;0;1;0;0
wem;1999;tsto;1;8;0;1;0;0
wem;1999;liiken;1;8;0;1;0;0
wem;1999;hoito;1;8;0;1;0;0
wem;1999;kokoon;1;8;0;1;0;0
wem;1999;opetus;1;8;0;1;0;0
wem;1999;teoll;0;2.4;0;1;0;0
wem;1999;varast;1;2.4;0;1;0;0
wem;1999;muut;1;8;0;1;0;0
wem;2009;erpien;1;1;0;1;0;0
wem;2009;rivita;1;0;0;1;0;0
wem;2009;askert;1;0;0;1;0;0
wem;2009;liike;1;12;0;1;0;0
wem;2009;tsto;1;10;0;1;0;0
wem;2009;liiken;1;10;0;1;0;0
wem;2009;hoito;1;10;0;1;0;0
wem;2009;kokoon;1;10;0;1;0;0
wem;2009;opetus;1;10;0;1;0;0
wem;2009;teoll;0;3;0;1;0;0
wem;2009;varast;1;3;0;1;0;0
wem;2009;muut;1;10;0;1;0;0
wem;2010;erpien;1;1.2;0;1;0;0
wem;2010;rivita;1;1.2;0;1;0;0
wem;2010;askert;1;1.2;0;1;0;0
wem;2010;liike;1;14;0;1;0;0
wem;2010;tsto;1;12;0;1;0;0
wem;2010;liiken;1;12;0;1;0;0
wem;2010;hoito;1;12;0;1;0;0
wem;2010;kokoon;1;12;0;1;0;0
wem;2010;opetus;1;12;0;1;0;0
wem;2010;teoll;0;3.6;0;1;0;0
wem;2010;varast;1;3.6;0;1;0;0
wem;2010;muut;1;12;0;1;0;0
wem;2018;erpien;1;1.2;0;1;0;0
wem;2018;rivita;1;1.2;0;1;0;0
wem;2018;askert;1;1.2;0;1;0;0
wem;2018;liike;1;14;0;1;0;0
wem;2018;tsto;1;12;0;1;0;0
wem;2018;liiken;1;12;0;1;0;0
wem;2018;hoito;1;12;0;1;0;0
wem;2018;kokoon;1;12;0;1;0;0
wem;2018;opetus;1;12;0;1;0;0
wem;2018;teoll;0;3.6;0;1;0;0
wem;2018;varast;1;3.6;0;1;0;0
wem;2018;muut;1;12;0;1;0;0
wem;2019;erpien;1;1.2;0;1;0;0
wem;2019;rivita;1;1.2;0;1;0;0
wem;2019;askert;1;1.2;0;1;0;0
wem;2019;liike;1;14;0;1;0;0
wem;2019;tsto;1;12;0;1;0;0
wem;2019;liiken;1;12;0;1;0;0
wem;2019;hoito;1;12;0;1;0;0
wem;2019;kokoon;1;12;0;1;0;0
wem;2019;opetus;1;12;0;1;0;0
wem;2019;teoll;0;3.6;0;1;0;0
wem;2019;varast;1;3.6;0;1;0;0
wem;2019;muut;1;12;0;1;0;0
wem;2020;erpien;1;1.2;0;1;0;0
wem;2020;rivita;1;1.2;0;1;0;0
wem;2020;askert;1;1.2;0;1;0;0
wem;2020;liike;1;13;0;1;0;0
wem;2020;tsto;1;12;0;1;0;0
wem;2020;liiken;1;12;0;1;0;0
wem;2020;hoito;1;12;0;1;0;0
wem;2020;kokoon;1;12;0;1;0;0
wem;2020;opetus;1;12;0;1;0;0
wem;2020;teoll;0;3.6;0;1;0;0
wem;2020;varast;1;3.6;0;1;0;0
wem;2020;muut;1;12;0;1;0;0
wem;2021;erpien;1;1.2;0;1;0;0
wem;2021;rivita;1;1.2;0;1;0;0
wem;2021;askert;1;1.2;0;1;0;0
wem;2021;liike;1;13;0;1;0;0
wem;2021;tsto;1;12;0;1;0;0
wem;2021;liiken;1;12;0;1;0;0
wem;2021;hoito;1;12;0;1;0;0
wem;2021;kokoon;1;12;0;1;0;0
wem;2021;opetus;1;12;0;1;0;0
wem;2021;teoll;0;3.6;0;1;0;0
wem;2021;varast;1;3.6;0;1;0;0
wem;2021;muut;1;12;0;1;0;0
wem;2022;erpien;1;1.2;0;1;0;0
wem;2022;rivita;1;1.2;0;1;0;0
wem;2022;askert;1;1.2;0;1;0;0
wem;2022;liike;1;12;0;1;0;0
wem;2022;tsto;1;12;0;1;0;0
wem;2022;liiken;1;12;0;1;0;0
wem;2022;hoito;1;12;0;1;0;0
wem;2022;kokoon;1;12;0;1;0;0
wem;2022;opetus;1;12;0;1;0;0
wem;2022;teoll;0;3.6;0;1;0;0
wem;2022;varast;1;3.6;0;1;0;0
wem;2022;muut;1;12;0;1;0;0
wem;2023;erpien;1;1.2;0;1;0;0
wem;2023;rivita;1;1.2;0;1;0;0
wem;2023;askert;1;1.2;0;1;0;0
wem;2023;liike;1;12;0;1;0;0
wem;2023;tsto;1;12;0;1;0;0
wem;2023;liiken;1;12;0;1;0;0
wem;2023;hoito;1;12;0;1;0;0
wem;2023;kokoon;1;12;0;1;0;0
wem;2023;opetus;1;12;0;1;0;0
wem;2023;teoll;0;3.6;0;1;0;0
wem;2023;varast;1;3.6;0;1;0;0
wem;2023;muut;1;12;0;1;0;0
wem;2024;erpien;1;1.2;0;1;0;0
wem;2024;rivita;1;1.2;0;1;0;0
wem;2024;askert;1;1.2;0;1;0;0
wem;2024;liike;1;11;0;1;0;0
wem;2024;tsto;1;12;0;1;0;0
wem;2024;liiken;1;12;0;1;0;0
wem;2024;hoito;1;12;0;1;0;0
wem;2024;kokoon;1;12;0;1;0;0
wem;2024;opetus;1;12;0;1;0;0
wem;2024;teoll;0;3.6;0;1;0;0
wem;2024;varast;1;3.6;0;1;0;0
wem;2024;muut;1;12;0;1;0;0
wem;2025;erpien;1;1.2;0;1;0;0
wem;2025;rivita;1;1.2;0;1;0;0
wem;2025;askert;1;1.2;0;1;0;0
wem;2025;liike;1;11;0;1;0;0
wem;2025;tsto;1;12;0;1;0;0
wem;2025;liiken;1;12;0;1;0;0
wem;2025;hoito;1;12;0;1;0;0
wem;2025;kokoon;1;12;0;1;0;0
wem;2025;opetus;1;12;0;1;0;0
wem;2025;teoll;0;3.6;0;1;0;0
wem;2025;varast;1;3.6;0;1;0;0
wem;2025;muut;1;12;0;1;0;0
wem;2026;erpien;1;1.2;0;1;0;0
wem;2026;rivita;1;1.2;0;1;0;0
wem;2026;askert;1;1.2;0;1;0;0
wem;2026;liike;1;11;0;1;0;0
wem;2026;tsto;1;12;0;1;0;0
wem;2026;liiken;1;12;0;1;0;0
wem;2026;hoito;1;12;0;1;0;0
wem;2026;kokoon;1;12;0;1;0;0
wem;2026;opetus;1;12;0;1;0;0
wem;2026;teoll;0;3.6;0;1;0;0
wem;2026;varast;1;3.6;0;1;0;0
wem;2026;muut;1;12;0;1;0;0
wem;2027;erpien;1;1.2;0;1;0;0
wem;2027;rivita;1;1.2;0;1;0;0
wem;2027;askert;1;1.2;0;1;0;0
wem;2027;liike;1;10;0;1;0;0
wem;2027;tsto;1;12;0;1;0;0
wem;2027;liiken;1;12;0;1;0;0
wem;2027;hoito;1;12;0;1;0;0
wem;2027;kokoon;1;12;0;1;0;0
wem;2027;opetus;1;12;0;1;0;0
wem;2027;teoll;0;3.6;0;1;0;0
wem;2027;varast;1;3.6;0;1;0;0
wem;2027;muut;1;12;0;1;0;0
wem;2028;erpien;1;1.2;0;1;0;0
wem;2028;rivita;1;1.2;0;1;0;0
wem;2028;askert;1;1.2;0;1;0;0
wem;2028;liike;1;10;0;1;0;0
wem;2028;tsto;1;12;0;1;0;0
wem;2028;liiken;1;12;0;1;0;0
wem;2028;hoito;1;12;0;1;0;0
wem;2028;kokoon;1;12;0;1;0;0
wem;2028;opetus;1;12;0;1;0;0
wem;2028;teoll;0;3.6;0;1;0;0
wem;2028;varast;1;3.6;0;1;0;0
wem;2028;muut;1;12;0;1;0;0
wem;2029;erpien;1;1.2;0;1;0;0
wem;2029;rivita;1;1.2;0;1;0;0
wem;2029;askert;1;1.2;0;1;0;0
wem;2029;liike;1;10;0;1;0;0
wem;2029;tsto;1;12;0;1;0;0
wem;2029;liiken;1;12;0;1;0;0
wem;2029;hoito;1;12;0;1;0;0
wem;2029;kokoon;1;12;0;1;0;0
wem;2029;opetus;1;12;0;1;0;0
wem;2029;teoll;0;3.6;0;1;0;0
wem;2029;varast;1;3.6;0;1;0;0
wem;2029;muut;1;12;0;1;0;0
wem;2030;erpien;1;1.2;0;1;0;0
wem;2030;rivita;1;1.2;0;1;0;0
wem;2030;askert;1;1.2;0;1;0;0
wem;2030;liike;1;10;0;1;0;0
wem;2030;tsto;1;12;0;1;0;0
wem;2030;liiken;1;12;0;1;0;0
wem;2030;hoito;1;12;0;1;0;0
wem;2030;kokoon;1;12;0;1;0;0
wem;2030;opetus;1;12;0;1;0;0
wem;2030;teoll;0;3.6;0;1;0;0
wem;2030;varast;1;3.6;0;1;0;0
wem;2030;muut;1;12;0;1;0;0
wem;2031;erpien;1;1.2;0;1;0;0
wem;2031;rivita;1;1.2;0;1;0;0
wem;2031;askert;1;1.2;0;1;0;0
wem;2031;liike;1;10;0;1;0;0
wem;2031;tsto;1;12;0;1;0;0
wem;2031;liiken;1;12;0;1;0;0
wem;2031;hoito;1;12;0;1;0;0
wem;2031;kokoon;1;12;0;1;0;0
wem;2031;opetus;1;12;0;1;0;0
wem;2031;teoll;0;3.6;0;1;0;0
wem;2031;varast;1;3.6;0;1;0;0
wem;2031;muut;1;12;0;1;0;0
wem;2032;erpien;1;1.2;0;1;0;0
wem;2032;rivita;1;1.2;0;1;0;0
wem;2032;askert;1;1.2;0;1;0;0
wem;2032;liike;1;10;0;1;0;0
wem;2032;tsto;1;12;0;1;0;0
wem;2032;liiken;1;12;0;1;0;0
wem;2032;hoito;1;12;0;1;0;0
wem;2032;kokoon;1;12;0;1;0;0
wem;2032;opetus;1;12;0;1;0;0
wem;2032;teoll;0;3.6;0;1;0;0
wem;2032;varast;1;3.6;0;1;0;0
wem;2032;muut;1;12;0;1;0;0
wem;2033;erpien;1;1.2;0;1;0;0
wem;2033;rivita;1;1.2;0;1;0;0
wem;2033;askert;1;1.2;0;1;0;0
wem;2033;liike;1;10;0;1;0;0
wem;2033;tsto;1;12;0;1;0;0
wem;2033;liiken;1;12;0;1;0;0
wem;2033;hoito;1;12;0;1;0;0
wem;2033;kokoon;1;12;0;1;0;0
wem;2033;opetus;1;12;0;1;0;0
wem;2033;teoll;0;3.6;0;1;0;0
wem;2033;varast;1;3.6;0;1;0;0
wem;2033;muut;1;12;0;1;0;0
wem;2034;erpien;1;1.2;0;1;0;0
wem;2034;rivita;1;1.2;0;1;0;0
wem;2034;askert;1;1.2;0;1;0;0
wem;2034;liike;1;10;0;1;0;0
