scenario;year;rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;kaasu;sahko;puu;maalampo;muu_lammitys
wem;2018;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2018;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2018;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2018;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2018;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2018;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2018;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2018;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2018;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2018;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2018;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2018;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2018;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2019;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2019;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2019;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2019;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2019;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2019;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2019;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2019;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2019;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2019;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2019;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2019;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2019;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2019;2019;erpien;0.11;0;0;0.1;0.01;0.73;0.05
wem;2020;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2020;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2020;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2020;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2020;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2020;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2020;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2020;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2020;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2020;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2020;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2020;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2020;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2020;2019;erpien;0.11;0;0;0.1;0.01;0.73;0.05
wem;2020;2020;erpien;0.12;0;0;0.13;0.02;0.69;0.04
wem;2021;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2021;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2021;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2021;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2021;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2021;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2021;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2021;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2021;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2021;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2021;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2021;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2021;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2021;2019;erpien;0.11;0;0;0.1;0.01;0.73;0.05
wem;2021;2020;erpien;0.12;0;0;0.13;0.02;0.69;0.04
wem;2021;2021;erpien;0.12;0;0;0.12;0.02;0.71;0.03
wem;2022;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2022;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2022;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2022;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2022;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2022;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2022;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2022;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2022;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2022;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2022;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2022;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2022;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2022;2019;erpien;0.11;0;0;0.1;0.01;0.73;0.05
wem;2022;2020;erpien;0.12;0;0;0.13;0.02;0.69;0.04
wem;2022;2021;erpien;0.12;0;0;0.12;0.02;0.71;0.03
wem;2022;2022;erpien;0.11;0;0;0.12;0.01;0.73;0.03
wem;2023;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2023;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2023;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2023;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2023;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2023;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2023;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2023;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2023;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2023;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2023;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
wem;2023;2010;erpien;0.12;0;0;0.27;0.03;0.56;0.03
wem;2023;2018;erpien;0.09;0;0;0.07;0.01;0.76;0.06
wem;2023;2019;erpien;0.11;0;0;0.1;0.01;0.73;0.05
wem;2023;2020;erpien;0.12;0;0;0.13;0.02;0.69;0.04
wem;2023;2021;erpien;0.12;0;0;0.12;0.02;0.71;0.03
wem;2023;2022;erpien;0.11;0;0;0.12;0.01;0.73;0.03
wem;2023;2023;erpien;0.11;0;0;0.11;0.01;0.75;0.03
wem;2024;9999;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2024;1920;erpien;0.08;0.19;0;0.61;0.01;0.03;0.08
wem;2024;1929;erpien;0.05;0.18;0;0.51;0.01;0.03;0.22
wem;2024;1939;erpien;0.04;0.31;0;0.48;0.01;0.04;0.12
wem;2024;1949;erpien;0.04;0.32;0;0.44;0;0.06;0.13
wem;2024;1959;erpien;0.03;0.56;0;0.26;0.01;0.08;0.06
wem;2024;1969;erpien;0.06;0.72;0;0.12;0;0.07;0.03
wem;2024;1979;erpien;0.08;0.64;0;0.19;0;0.07;0.02
wem;2024;1989;erpien;0.14;0.13;0;0.68;0;0.02;0.03
wem;2024;1999;erpien;0.13;0.22;0;0.56;0.01;0.04;0.04
wem;2024;2009;erpien;0.27;0.06;0;0.49;0.02;0.14;0.01
