scenario;year;erpien;rivita;askert
wem;2017;7;8;9
wem;2018;7;8;9
wem;2019;7;8;9
wem;2020;6.8;7.8;8.8
wem;2021;6.6;7.6;8.5
wem;2022;6.4;7.3;8.3
wem;2023;6.2;7.1;8
wem;2024;6;6.9;7.8
wem;2025;5.9;6.7;7.5
wem;2026;5.7;6.5;7.3
wem;2027;5.5;6.3;7
wem;2028;5.3;6;6.8
wem;2029;5.1;5.8;6.5
wem;2030;4.9;5.6;6.3
wem;2031;4.8;5.5;6.2
wem;2032;4.7;5.3;6
wem;2033;4.6;5.2;5.9
wem;2034;4.5;5.1;5.7
wem;2035;4.3;5;5.6
wem;2036;4.2;4.8;5.4
wem;2037;4.1;4.7;5.3
wem;2038;4;4.6;5.2
wem;2039;3.9;4.5;5
wem;2040;3.8;4.3;4.9
wem;2041;3.7;4.3;4.8
wem;2042;3.7;4.2;4.7
wem;2043;3.6;4.1;4.7
wem;2044;3.6;4.1;4.6
wem;2045;3.5;4;4.5
wem;2046;3.5;3.9;4.4
wem;2047;3.4;3.9;4.4
wem;2048;3.3;3.8;4.3
wem;2049;3.3;3.8;4.2
wem;2050;3.2;3.7;4.2
eu80;2017;7;8;9
eu80;2018;7;8;9
eu80;2019;7;8;9
eu80;2020;6.8;7.8;8.8
eu80;2021;6.6;7.6;8.5
eu80;2022;6.4;7.3;8.3
eu80;2023;6.2;7.1;8
eu80;2024;6;6.9;7.8
eu80;2025;5.9;6.7;7.5
eu80;2026;5.7;6.5;7.3
eu80;2027;5.5;6.3;7
eu80;2028;5.3;6;6.8
eu80;2029;5.1;5.8;6.5
eu80;2030;4.9;5.6;6.3
eu80;2031;4.8;5.5;6.2
eu80;2032;4.7;5.3;6
eu80;2033;4.6;5.2;5.9
eu80;2034;4.5;5.1;5.7
eu80;2035;4.3;5;5.6
eu80;2036;4.2;4.8;5.4
eu80;2037;4.1;4.7;5.3
eu80;2038;4;4.6;5.2
eu80;2039;3.9;4.5;5
eu80;2040;3.8;4.3;4.9
eu80;2041;3.7;4.3;4.8
eu80;2042;3.7;4.2;4.7
eu80;2043;3.6;4.1;4.7
eu80;2044;3.6;4.1;4.6
eu80;2045;3.5;4;4.5
eu80;2046;3.5;3.9;4.4
eu80;2047;3.4;3.9;4.4
eu80;2048;3.3;3.8;4.3
eu80;2049;3.3;3.8;4.2
eu80;2050;3.2;3.7;4.2
kasvu;2017;7;8;9
kasvu;2018;7;8;9
kasvu;2019;7;8;9
kasvu;2020;6.8;7.7;8.7
kasvu;2021;6.6;7.5;8.4
kasvu;2022;6.3;7.2;8.1
kasvu;2023;6.1;7;7.9
kasvu;2024;5.9;6.7;7.6
kasvu;2025;5.7;6.5;7.3
kasvu;2026;5.4;6.2;7
kasvu;2027;5.2;6;6.7
kasvu;2028;5;5.7;6.4
kasvu;2029;4.8;5.5;6.1
kasvu;2030;4.6;5.2;5.9
kasvu;2031;4.4;5.1;5.7
kasvu;2032;4.3;4.9;5.5
kasvu;2033;4.2;4.8;5.4
kasvu;2034;4.1;4.7;5.2
kasvu;2035;4;4.5;5.1
kasvu;2036;3.8;4.4;4.9
kasvu;2037;3.7;4.2;4.8
kasvu;2038;3.6;4.1;4.6
kasvu;2039;3.5;4;4.5
kasvu;2040;3.4;3.8;4.3
kasvu;2041;3.3;3.8;4.2
kasvu;2042;3.2;3.7;4.2
kasvu;2043;3.2;3.6;4.1
kasvu;2044;3.1;3.6;4
kasvu;2045;3.1;3.5;3.9
kasvu;2046;3;3.4;3.9
kasvu;2047;2.9;3.4;3.8
kasvu;2048;2.9;3.3;3.7
kasvu;2049;2.8;3.2;3.6
kasvu;2050;2.8;3.2;3.6
muutos;2017;7;8;9
muutos;2018;7;8;9
muutos;2019;7;8;9
muutos;2020;6.8;7.7;8.7
muutos;2021;6.6;7.5;8.4
muutos;2022;6.3;7.2;8.1
muutos;2023;6.1;7;7.9
muutos;2024;5.9;6.7;7.6
muutos;2025;5.7;6.5;7.3
muutos;2026;5.4;6.2;7
muutos;2027;5.2;6;6.7
muutos;2028;5;5.7;6.4
muutos;2029;4.8;5.5;6.1
muutos;2030;4.6;5.2;5.9
muutos;2031;4.4;5.1;5.7
muutos;2032;4.3;4.9;5.5
muutos;2033;4.2;4.8;5.4
muutos;2034;4.1;4.7;5.2
muutos;2035;4;4.5;5.1
muutos;2036;3.8;4.4;4.9
muutos;2037;3.7;4.2;4.8
muutos;2038;3.6;4.1;4.6
muutos;2039;3.5;4;4.5
muutos;2040;3.4;3.8;4.3
muutos;2041;3.3;3.8;4.2
muutos;2042;3.2;3.7;4.2
muutos;2043;3.2;3.6;4.1
muutos;2044;3.1;3.6;4
muutos;2045;3.1;3.5;3.9
