mun;scenario;year;myymal_hyper;myymal_super;myymal_pien;myymal_muu;majoit;asla;ravint;tsto;liiken;hoito;kokoon;opetus;muut;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll;liike;myymal
211;wemp;2018;225;175;175;125;85;60;125;80;175;80;85;50;65;300;175;150;250;300;250;250;400;250;150;100;0;0;0;60;234;131;175
211;wemp;2019;225;175;175;125;85;60;125;80;175;80;85;50;65;300;175;150;250;300;250;250;400;250;150;100;0;0;0;60;234;131;175
211;wemp;2020;225;175;175;125;85;60;125;80;175;80;85;50;65;301;175;150;250;301;250;250;401;250;150;100;0;0;0;60;234;131;175
211;wemp;2021;226;176;176;125;85;60;125;80;176;80;85;50;65;301;176;151;251;301;251;251;401;251;151;100;0;0;0;60;235;132;176
211;wemp;2022;226;176;176;126;85;60;126;80;176;80;85;50;65;302;176;151;251;302;251;251;402;251;151;101;0;0;0;60;235;132;176
211;wemp;2023;227;176;176;126;86;60;126;81;176;81;86;50;65;302;176;151;252;302;252;252;403;252;151;101;0;0;0;60;236;132;176
211;wemp;2024;227;177;177;126;86;61;126;81;177;81;86;50;66;303;177;151;252;303;252;252;404;252;151;101;0;0;0;61;236;132;177
211;wemp;2025;227;177;177;126;86;61;126;81;177;81;86;51;66;303;177;152;253;303;253;253;404;253;152;101;0;0;0;61;237;133;177
211;wemp;2026;228;177;177;127;86;61;127;81;177;81;86;51;66;304;177;152;253;304;253;253;405;253;152;101;0;0;0;61;237;133;177
211;wemp;2027;228;178;178;127;86;61;127;81;178;81;86;51;66;304;178;152;254;304;254;254;406;254;152;101;0;0;0;61;238;133;178
211;wemp;2028;229;178;178;127;86;61;127;81;178;81;86;51;66;305;178;152;254;305;254;254;407;254;152;102;0;0;0;61;238;133;178
211;wemp;2029;229;178;178;127;87;61;127;81;178;81;87;51;66;305;178;153;255;305;255;255;407;255;153;102;0;0;0;61;238;134;178
211;wemp;2030;230;179;179;128;87;61;128;82;179;82;87;51;66;306;179;153;255;306;255;255;408;255;153;102;0;0;0;61;239;134;179
211;wemp;2031;230;179;179;128;87;61;128;82;179;82;87;51;66;306;179;153;255;306;255;255;409;255;153;102;0;0;0;61;239;134;179
