scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemp;9999;erpien;1
wemp;9999;rivita;5
wemp;9999;askert;5
wemp;9999;liike;15
wemp;9999;tsto;10
wemp;9999;liiken;15
wemp;9999;hoito;30
wemp;9999;kokoon;15
wemp;9999;opetus;10
wemp;9999;teoll;0
wemp;9999;varast;0
wemp;9999;muut;15
wemp;1920;erpien;1
wemp;1920;rivita;5
wemp;1920;askert;5
wemp;1920;liike;15
wemp;1920;tsto;10
wemp;1920;liiken;15
wemp;1920;hoito;30
wemp;1920;kokoon;15
wemp;1920;opetus;10
wemp;1920;teoll;0
wemp;1920;varast;0
wemp;1920;muut;15
wemp;1929;erpien;1
wemp;1929;rivita;6
wemp;1929;askert;6
wemp;1929;liike;15
wemp;1929;tsto;10
wemp;1929;liiken;15
wemp;1929;hoito;30
wemp;1929;kokoon;15
wemp;1929;opetus;10
wemp;1929;teoll;0
wemp;1929;varast;0
wemp;1929;muut;15
wemp;1939;erpien;2
wemp;1939;rivita;7
wemp;1939;askert;7
wemp;1939;liike;17
wemp;1939;tsto;12
wemp;1939;liiken;17
wemp;1939;hoito;32
wemp;1939;kokoon;17
wemp;1939;opetus;12
wemp;1939;teoll;0
wemp;1939;varast;0
wemp;1939;muut;17
wemp;1949;erpien;2
wemp;1949;rivita;10
wemp;1949;askert;9
wemp;1949;liike;19
wemp;1949;tsto;14
wemp;1949;liiken;19
wemp;1949;hoito;34
wemp;1949;kokoon;19
wemp;1949;opetus;14
wemp;1949;teoll;0
wemp;1949;varast;0
wemp;1949;muut;19
wemp;1959;erpien;3
wemp;1959;rivita;12
wemp;1959;askert;12
wemp;1959;liike;20
wemp;1959;tsto;15
wemp;1959;liiken;20
wemp;1959;hoito;35
wemp;1959;kokoon;20
wemp;1959;opetus;15
wemp;1959;teoll;0
wemp;1959;varast;0
wemp;1959;muut;20
wemp;1969;erpien;7
wemp;1969;rivita;14
wemp;1969;askert;16
wemp;1969;liike;25
wemp;1969;tsto;20
wemp;1969;liiken;25
wemp;1969;hoito;40
wemp;1969;kokoon;25
wemp;1969;opetus;20
wemp;1969;teoll;0
wemp;1969;varast;0
wemp;1969;muut;25
wemp;1979;erpien;10
wemp;1979;rivita;18
wemp;1979;askert;20
wemp;1979;liike;30
wemp;1979;tsto;25
wemp;1979;liiken;30
wemp;1979;hoito;45
wemp;1979;kokoon;30
wemp;1979;opetus;25
wemp;1979;teoll;0
wemp;1979;varast;0
wemp;1979;muut;30
wemp;1989;erpien;15
wemp;1989;rivita;16
wemp;1989;askert;19
wemp;1989;liike;27
wemp;1989;tsto;22
wemp;1989;liiken;27
wemp;1989;hoito;42
wemp;1989;kokoon;27
wemp;1989;opetus;22
wemp;1989;teoll;0
wemp;1989;varast;0
wemp;1989;muut;27
wemp;1999;erpien;18
wemp;1999;rivita;14
wemp;1999;askert;19
wemp;1999;liike;25
wemp;1999;tsto;20
wemp;1999;liiken;25
wemp;1999;hoito;40
wemp;1999;kokoon;25
wemp;1999;opetus;20
wemp;1999;teoll;0
wemp;1999;varast;0
wemp;1999;muut;25
wemp;2009;erpien;20
wemp;2009;rivita;14
wemp;2009;askert;23
wemp;2009;liike;25
wemp;2009;tsto;20
wemp;2009;liiken;25
wemp;2009;hoito;40
wemp;2009;kokoon;25
wemp;2009;opetus;20
wemp;2009;teoll;0
wemp;2009;varast;0
wemp;2009;muut;25
wemp;2010;erpien;17
wemp;2010;rivita;22
wemp;2010;askert;24
wemp;2010;liike;26
wemp;2010;tsto;21
wemp;2010;liiken;26
wemp;2010;hoito;41
wemp;2010;kokoon;26
wemp;2010;opetus;21
wemp;2010;teoll;0
wemp;2010;varast;0
wemp;2010;muut;26
wemp;2018;erpien;10
wemp;2018;rivita;20
wemp;2018;askert;22
wemp;2018;liike;25
wemp;2018;tsto;20
wemp;2018;liiken;25
wemp;2018;hoito;35
wemp;2018;kokoon;25
wemp;2018;opetus;20
wemp;2018;teoll;0
wemp;2018;varast;0
wemp;2018;muut;25
wemp;2019;erpien;10
wemp;2019;rivita;20
wemp;2019;askert;22
wemp;2019;liike;25
wemp;2019;tsto;20
wemp;2019;liiken;25
wemp;2019;hoito;35
wemp;2019;kokoon;25
wemp;2019;opetus;20
wemp;2019;teoll;0
wemp;2019;varast;0
wemp;2019;muut;25
wemp;2020;erpien;10
wemp;2020;rivita;20
wemp;2020;askert;22
wemp;2020;liike;25
wemp;2020;tsto;20
wemp;2020;liiken;25
wemp;2020;hoito;35
wemp;2020;kokoon;25
wemp;2020;opetus;20
wemp;2020;teoll;0
wemp;2020;varast;0
wemp;2020;muut;25
wemp;2021;erpien;10
wemp;2021;rivita;20
wemp;2021;askert;22
wemp;2021;liike;25
wemp;2021;tsto;20
wemp;2021;liiken;25
wemp;2021;hoito;35
wemp;2021;kokoon;25
wemp;2021;opetus;20
wemp;2021;teoll;0
wemp;2021;varast;0
wemp;2021;muut;25
wemp;2022;erpien;10
wemp;2022;rivita;20
wemp;2022;askert;22
wemp;2022;liike;25
wemp;2022;tsto;20
wemp;2022;liiken;25
wemp;2022;hoito;35
