rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
9999;erpien;0.9;0.76;0.78;0.82;0.95;0.62;0.68;0.68;2.99;0.62
9999;rivita;0.9;0.78;0.78;0.82;0.95;0.68;0.72;0.72;2.99;0.68
9999;askert;0.9;0.79;0.79;0.82;0.95;0.72;0.72;0.72;2.99;0.72
9999;liike;0.89;0.79;0.79;0.82;0.9;0.72;0.72;0.72;2.97;0.72
9999;tsto;0.9;0.79;0.79;0.82;0.95;0.72;0.72;0.72;2.99;0.72
9999;liiken;0.89;0.79;0.79;0.82;0.9;0.72;0.72;0.72;2.97;0.72
9999;hoito;0.9;0.79;0.79;0.82;0.95;0.72;0.72;0.72;2.99;0.72
9999;kokoon;0.89;0.79;0.79;0.82;0.9;0.72;0.72;0.72;2.97;0.72
9999;opetus;0.9;0.79;0.79;0.82;0.95;0.72;0.72;0.72;2.99;0.72
9999;teoll;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
9999;varast;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
9999;muut;0.9;0.79;0.79;0.82;0.95;0.72;0.72;0.72;2.99;0.72
1920;erpien;0.89;0.76;0.77;0.81;0.95;0.59;0.68;0.68;2.97;0.59
1920;rivita;0.89;0.77;0.77;0.81;0.95;0.68;0.72;0.72;2.97;0.68
1920;askert;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1920;liike;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1920;tsto;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1920;liiken;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1920;hoito;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1920;kokoon;0.89;0.78;0.78;0.81;0.9;0.72;0.72;0.72;2.97;0.72
1920;opetus;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
1920;teoll;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1920;varast;0.84;0.74;0.74;0.77;0.85;0.68;0.68;0.68;2.8;0.68
1920;muut;0.89;0.78;0.78;0.81;0.95;0.72;0.72;0.72;2.97;0.72
