mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
837;wemp;2018;9999;135;150;105;160;145;80;180;120;170;135;130;80
837;wemp;2018;1920;150;150;100;220;200;130;240;160;250;270;190;130
837;wemp;2018;1929;155;150;95;219;200;135;244;160;249;259;190;135
837;wemp;2018;1939;160;155;95;219;200;140;249;160;249;249;190;140
837;wemp;2018;1949;158;153;99;218;193;139;248;158;238;238;178;139
837;wemp;2018;1959;149;208;99;198;188;139;248;158;228;228;173;139
837;wemp;2018;1969;158;177;113;192;143;113;207;133;182;138;167;113
837;wemp;2018;1979;139;178;109;163;119;94;173;114;153;109;129;94
837;wemp;2018;1989;110;140;100;155;115;90;165;105;145;105;120;90
837;wemp;2018;1999;135;180;115;140;105;80;145;90;130;95;105;80
837;wemp;2018;2009;120;120;100;125;95;70;125;75;115;85;90;70
837;wemp;2018;2010;60;60;60;80;60;50;95;60;75;45;45;50
837;wemp;2018;2018;60;58;58;77;55;40;85;55;74;40;40;40
837;wemp;2019;9999;135;150;105;160;145;80;180;120;170;135;130;80
837;wemp;2019;1920;150;150;100;220;200;130;240;160;250;270;190;130
837;wemp;2019;1929;154;149;95;219;199;134;244;159;249;259;189;134
837;wemp;2019;1939;159;154;95;219;199;139;249;159;249;249;189;139
837;wemp;2019;1949;157;152;98;216;191;137;245;157;235;235;176;137
837;wemp;2019;1959;147;206;98;196;186;137;245;157;225;225;172;137
837;wemp;2019;1969;155;175;112;189;141;112;204;131;179;136;165;112
837;wemp;2019;1979;137;176;108;162;118;93;172;113;152;108;127;93
837;wemp;2019;1989;109;139;100;154;114;90;164;104;144;104;119;90
837;wemp;2019;1999;135;180;115;140;105;80;145;90;130;95;105;80
837;wemp;2019;2009;120;120;100;125;95;70;125;75;115;85;90;70
837;wemp;2019;2010;60;60;60;80;60;50;95;60;75;45;45;50
837;wemp;2019;2018;60;58;58;77;55;40;85;55;74;40;40;40
837;wemp;2019;2019;65;45;40;55;55;40;85;55;70;40;40;40
837;wemp;2020;9999;135;150;105;160;145;80;180;120;170;135;130;80
837;wemp;2020;1920;150;150;100;219;200;130;239;160;249;269;190;130
837;wemp;2020;1929;154;149;94;218;199;134;243;159;248;258;189;134
837;wemp;2020;1939;159;154;94;218;199;139;248;159;248;248;189;139
837;wemp;2020;1949;155;150;97;213;189;136;243;155;233;233;175;136
837;wemp;2020;1959;146;204;97;194;184;136;243;155;223;223;170;136
837;wemp;2020;1969;153;172;110;186;139;110;201;129;177;134;162;110
837;wemp;2020;1979;136;175;107;160;116;92;170;112;150;107;126;92
837;wemp;2020;1989;109;139;99;154;114;89;164;104;144;104;119;89
837;wemp;2020;1999;135;180;115;140;105;80;145;90;130;95;105;80
837;wemp;2020;2009;120;120;100;125;95;70;125;75;115;85;90;70
837;wemp;2020;2010;60;60;60;80;60;50;95;60;75;45;45;50
