scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wemp;9999;erpien;29
wemp;9999;rivita;31
wemp;9999;askert;31
wemp;9999;liike;0
wemp;9999;tsto;29
wemp;9999;liiken;31
wemp;9999;hoito;31
wemp;9999;kokoon;0
wemp;9999;opetus;29
wemp;9999;teoll;31
wemp;9999;varast;31
wemp;9999;muut;0
wemp;1920;erpien;29
wemp;1920;rivita;35
wemp;1920;askert;35
wemp;1920;liike;0
wemp;1920;tsto;29
wemp;1920;liiken;35
wemp;1920;hoito;35
wemp;1920;kokoon;0
wemp;1920;opetus;29
wemp;1920;teoll;35
wemp;1920;varast;35
wemp;1920;muut;0
wemp;1929;erpien;29
wemp;1929;rivita;35
wemp;1929;askert;35
wemp;1929;liike;0
wemp;1929;tsto;29
wemp;1929;liiken;35
wemp;1929;hoito;35
wemp;1929;kokoon;0
wemp;1929;opetus;29
wemp;1929;teoll;35
wemp;1929;varast;35
wemp;1929;muut;0
wemp;1939;erpien;29
wemp;1939;rivita;35
wemp;1939;askert;35
wemp;1939;liike;0
wemp;1939;tsto;29
wemp;1939;liiken;35
wemp;1939;hoito;35
wemp;1939;kokoon;0
wemp;1939;opetus;29
wemp;1939;teoll;35
wemp;1939;varast;35
wemp;1939;muut;0
wemp;1949;erpien;29
wemp;1949;rivita;34
wemp;1949;askert;35
wemp;1949;liike;0
wemp;1949;tsto;29
wemp;1949;liiken;34
wemp;1949;hoito;35
wemp;1949;kokoon;0
wemp;1949;opetus;29
wemp;1949;teoll;34
wemp;1949;varast;35
wemp;1949;muut;0
wemp;1959;erpien;29
wemp;1959;rivita;34
wemp;1959;askert;34
wemp;1959;liike;0
wemp;1959;tsto;29
wemp;1959;liiken;34
wemp;1959;hoito;34
wemp;1959;kokoon;0
wemp;1959;opetus;29
wemp;1959;teoll;34
wemp;1959;varast;34
wemp;1959;muut;0
wemp;1969;erpien;29
wemp;1969;rivita;33
wemp;1969;askert;33
wemp;1969;liike;0
wemp;1969;tsto;29
wemp;1969;liiken;33
wemp;1969;hoito;33
wemp;1969;kokoon;0
wemp;1969;opetus;29
wemp;1969;teoll;33
wemp;1969;varast;33
wemp;1969;muut;0
wemp;1979;erpien;29
wemp;1979;rivita;31
wemp;1979;askert;31
wemp;1979;liike;0
wemp;1979;tsto;29
wemp;1979;liiken;31
wemp;1979;hoito;31
wemp;1979;kokoon;0
wemp;1979;opetus;29
wemp;1979;teoll;31
wemp;1979;varast;31
wemp;1979;muut;0
wemp;1989;erpien;28
wemp;1989;rivita;30
wemp;1989;askert;29
wemp;1989;liike;0
wemp;1989;tsto;28
wemp;1989;liiken;30
wemp;1989;hoito;29
wemp;1989;kokoon;0
wemp;1989;opetus;28
wemp;1989;teoll;30
wemp;1989;varast;29
wemp;1989;muut;0
wemp;1999;erpien;31
wemp;1999;rivita;32
wemp;1999;askert;30
wemp;1999;liike;0
wemp;1999;tsto;31
