WKT;id;keskustyyp;keskusnimi
"POINT (378325.0 6674225.0)";1;Kaupunkiseudun iso alakeskus;Pohjois-Tapiola
"POINT (379513.888888889 6704986.11111111)";2;Kaupunkiseudun iso alakeskus;Nurmijärven kirkonkylä
"POINT (382504.310344828 6670633.62068965)";3;Kaupunkiseudun iso alakeskus;Lauttasaari
"POINT (376517.857142857 6672553.57142857)";4;Kaupunkiseudun iso alakeskus;Niittykumpu
"POINT (374075.0 6677000.0)";5;Kaupunkiseudun iso alakeskus;Kauniainen
"POINT (387325 6685625)";6;Kaupunkiseudun iso alakeskus;Pakkala
"POINT (407666.666666667 6685916.66666667)";7;Kaupunkiseudun iso alakeskus;Söderkulla
"POINT (407666.666666667 6685916.66666667)";7;Kaupunkiseudun iso alakeskus;Söderkulla
"POINT (393951.923076923 6691990.38461538)";8;Kaupunkiseudun iso alakeskus;Korso
"POINT (238086.538461539 6713432.69230769)";9;Kaupunkiseudun iso alakeskus;Länsikeskus
"POINT (319089.285714285 6828553.57142857)";10;Kaupunkiseudun iso alakeskus;Ylöjärvi
"POINT (227513.888888889 7009097.22222222)";11;Kaupunkiseudun iso alakeskus;Palosaari
;;;
"POINT (308875.0 6746000.0)";12;Kaupunkiseudun iso alakeskus;Jokioinen
"POINT (370125.0 6676500.0)";13;Kaupunkiseudun iso alakeskus;Espoon keskus
"POINT (382987.5 6675912.5)";14;Kaupunkiseudun iso alakeskus;Munkkiniemi-Pikku-Huopalahti
"POINT (382288.043478261 6677505.43478261)";15;Kaupunkiseudun iso alakeskus;Pitäjänmäentie
"POINT (391150.0 6674700.0)";16;Kaupunkiseudun iso alakeskus;Herttoniemi
"POINT (391125.0 6697625.0)";17;Kaupunkiseudun iso alakeskus;Hyrylä
"POINT (393671.875 6676468.75)";18;Kaupunkiseudun iso alakeskus;Itäkeskus
"POINT (394991.071428571 6705785.71428571)";19;Kaupunkiseudun iso alakeskus;Järvenpää
"POINT (395419.117647059 6697845.58823529)";20;Kaupunkiseudun iso alakeskus;Kerava
"POINT (357586.538461538 6667817.30769231)";21;Kaupunkiseudun iso alakeskus;Kirkkonummi
"POINT (378884.259259259 6677662.03703704)";22;Kaupunkiseudun iso alakeskus;Leppävaara
"POINT (389930.555555556 6681069.44444444)";23;Kaupunkiseudun iso alakeskus;Malmi
"POINT (374416.666666667 6671625.0)";24;Kaupunkiseudun iso alakeskus;Matinkylä
"POINT (381152.777777778 6682388.88888889)";25;Kaupunkiseudun iso alakeskus;Myyrmäki
"POINT (381336.538461539 6684355.76923077)";26;Kaupunkiseudun iso alakeskus;Martinlaakso
"POINT (404589.285714286 6694696.42857143)";27;Kaupunkiseudun iso alakeskus;Nikkilä
