mun;scenario;year;gco2kwh
211;wemp;2018;258
211;wemp;2019;260
211;wemp;2020;253
211;wemp;2021;89
211;wemp;2022;111
211;wemp;2023;87
211;wemp;2024;86
211;wemp;2025;83
211;wemp;2026;77
211;wemp;2027;72
211;wemp;2028;66
211;wemp;2029;61
211;wemp;2030;55
211;wemp;2031;52
211;wemp;2032;49
211;wemp;2033;44
211;wemp;2034;42
211;wemp;2035;37
211;wemp;2036;35
211;wemp;2037;30
211;wemp;2038;25
211;wemp;2039;21
211;wemp;2040;18
211;wemp;2041;18
211;wemp;2042;18
211;wemp;2043;18
211;wemp;2044;18
211;wemp;2045;18
211;wemp;2046;18
211;wemp;2047;18
211;wemp;2048;18
211;wemp;2049;18
211;wemp;2050;18
211;wemh;2018;258
211;wemh;2019;260
211;wemh;2020;253
211;wemh;2021;89
211;wemh;2022;111
211;wemh;2023;87
211;wemh;2024;86
211;wemh;2025;83
211;wemh;2026;77
211;wemh;2027;72
211;wemh;2028;66
211;wemh;2029;61
211;wemh;2030;55
211;wemh;2031;53
211;wemh;2032;49
211;wemh;2033;45
211;wemh;2034;42
211;wemh;2035;37
211;wemh;2036;35
211;wemh;2037;30
211;wemh;2038;25
211;wemh;2039;21
211;wemh;2040;18
211;wemh;2041;18
211;wemh;2042;18
211;wemh;2043;18
211;wemh;2044;18
211;wemh;2045;18
211;wemh;2046;18
211;wemh;2047;18
211;wemh;2048;18
211;wemh;2049;18
211;wemh;2050;18
211;weml;2018;258
211;weml;2019;260
211;weml;2020;253
211;weml;2021;89
211;weml;2022;111
211;weml;2023;87
211;weml;2024;86
211;weml;2025;83
211;weml;2026;77
211;weml;2027;72
211;weml;2028;66
211;weml;2029;61
211;weml;2030;55
211;weml;2031;52
211;weml;2032;49
211;weml;2033;44
211;weml;2034;42
211;weml;2035;37
211;weml;2036;35
211;weml;2037;30
211;weml;2038;25
211;weml;2039;21
211;weml;2040;17
211;weml;2041;17
211;weml;2042;17
211;weml;2043;17
211;weml;2044;17
211;weml;2045;17
211;weml;2046;17
211;weml;2047;17
211;weml;2048;17
211;weml;2049;17
211;weml;2050;17
418;wemp;2018;218
418;wemp;2019;196
418;wemp;2020;194
418;wemp;2021;172
418;wemp;2022;173
418;wemp;2023;143
418;wemp;2024;128
418;wemp;2025;113
418;wemp;2026;106
418;wemp;2027;99
418;wemp;2028;92
418;wemp;2029;85
418;wemp;2030;79
418;wemp;2031;77
418;wemp;2032;74
418;wemp;2033;69
418;wemp;2034;69
418;wemp;2035;63
418;wemp;2036;66
418;wemp;2037;59
418;wemp;2038;52
418;wemp;2039;48
418;wemp;2040;47
418;wemp;2041;49
418;wemp;2042;49
418;wemp;2043;51
418;wemp;2044;49
418;wemp;2045;49
418;wemp;2046;49
418;wemp;2047;46
418;wemp;2048;49
418;wemp;2049;49
418;wemp;2050;49
418;wemh;2018;218
418;wemh;2019;196
418;wemh;2020;194
418;wemh;2021;172
418;wemh;2022;173
418;wemh;2023;143
418;wemh;2024;128
418;wemh;2025;113
418;wemh;2026;106
418;wemh;2027;99
418;wemh;2028;92
418;wemh;2029;85
418;wemh;2030;79
418;wemh;2031;77
418;wemh;2032;74
418;wemh;2033;69
418;wemh;2034;69
418;wemh;2035;63
418;wemh;2036;66
418;wemh;2037;59
418;wemh;2038;52
418;wemh;2039;48
418;wemh;2040;47
418;wemh;2041;47
