scenario;year;gco2kwh
wemp;2018;170
wemp;2019;139
wemp;2020;101
wemp;2021;114
wemp;2022;101
wemp;2023;74
wemp;2024;69
wemp;2025;68
wemp;2026;64
wemp;2027;60
wemp;2028;56
wemp;2029;52
wemp;2030;49
wemp;2031;45
wemp;2032;42
wemp;2033;38
wemp;2034;35
wemp;2035;32
wemp;2036;31
wemp;2037;29
wemp;2038;28
wemp;2039;26
wemp;2040;25
wemp;2041;25
wemp;2042;24
wemp;2043;23
wemp;2044;23
wemp;2045;22
wemp;2046;23
wemp;2047;23
wemp;2048;24
wemp;2049;24
wemp;2050;24
wemh;2018;170
wemh;2019;139
wemh;2020;101
wemh;2021;114
wemh;2022;101
wemh;2023;74
wemh;2024;69
wemh;2025;68
wemh;2026;64
wemh;2027;60
wemh;2028;56
wemh;2029;52
wemh;2030;49
wemh;2031;45
wemh;2032;42
wemh;2033;38
wemh;2034;35
wemh;2035;32
wemh;2036;31
wemh;2037;29
wemh;2038;28
wemh;2039;26
wemh;2040;25
wemh;2041;25
wemh;2042;24
wemh;2043;23
wemh;2044;23
wemh;2045;22
wemh;2046;23
wemh;2047;23
wemh;2048;24
wemh;2049;24
wemh;2050;24
weml;2018;170
weml;2019;139
weml;2020;101
weml;2021;114
weml;2022;101
weml;2023;74
weml;2024;69
weml;2025;68
weml;2026;64
weml;2027;60
weml;2028;56
weml;2029;52
weml;2030;49
weml;2031;45
weml;2032;42
weml;2033;38
weml;2034;35
weml;2035;32
weml;2036;31
weml;2037;29
weml;2038;28
weml;2039;26
weml;2040;25
weml;2041;25
weml;2042;24
weml;2043;23
weml;2044;23
weml;2045;22
weml;2046;23
weml;2047;23
weml;2048;24
weml;2049;24
weml;2050;24
