mun;scenario;year;sahko_koti_as
980;wem;2017;700
980;wem;2018;700
980;wem;2019;700
980;wem;2020;697
980;wem;2021;695
980;wem;2022;692
980;wem;2023;690
980;wem;2024;687
980;wem;2025;685
980;wem;2026;682
980;wem;2027;680
980;wem;2028;677
980;wem;2029;675
980;wem;2030;672
980;wem;2031;669
980;wem;2032;667
980;wem;2033;664
980;wem;2034;661
980;wem;2035;659
980;wem;2036;656
980;wem;2037;653
980;wem;2038;650
980;wem;2039;648
980;wem;2040;645
980;wem;2041;643
980;wem;2042;640
980;wem;2043;637
980;wem;2044;635
980;wem;2045;632
980;wem;2046;630
980;wem;2047;627
980;wem;2048;624
980;wem;2049;622
980;wem;2050;619
980;eu80;2017;700
980;eu80;2018;700
980;eu80;2019;700
980;eu80;2020;695
980;eu80;2021;690
980;eu80;2022;685
980;eu80;2023;680
980;eu80;2024;675
980;eu80;2025;669
980;eu80;2026;664
980;eu80;2027;659
980;eu80;2028;654
980;eu80;2029;649
980;eu80;2030;644
980;eu80;2031;639
980;eu80;2032;634
980;eu80;2033;629
980;eu80;2034;623
980;eu80;2035;618
980;eu80;2036;613
980;eu80;2037;608
980;eu80;2038;603
980;eu80;2039;598
980;eu80;2040;592
980;eu80;2041;588
980;eu80;2042;583
980;eu80;2043;578
980;eu80;2044;574
980;eu80;2045;569
980;eu80;2046;564
980;eu80;2047;559
980;eu80;2048;555
980;eu80;2049;550
980;eu80;2050;545
980;kasvu;2017;700
980;kasvu;2018;700
980;kasvu;2019;700
980;kasvu;2020;696
980;kasvu;2021;691
980;kasvu;2022;687
980;kasvu;2023;682
980;kasvu;2024;678
980;kasvu;2025;673
980;kasvu;2026;669
980;kasvu;2027;664
980;kasvu;2028;660
980;kasvu;2029;655
980;kasvu;2030;651
980;kasvu;2031;646
980;kasvu;2032;642
980;kasvu;2033;637
980;kasvu;2034;633
980;kasvu;2035;628
980;kasvu;2036;624
980;kasvu;2037;619
980;kasvu;2038;615
980;kasvu;2039;610
980;kasvu;2040;605
980;kasvu;2041;601
980;kasvu;2042;597
980;kasvu;2043;593
980;kasvu;2044;588
980;kasvu;2045;584
980;kasvu;2046;580
980;kasvu;2047;576
980;kasvu;2048;572
980;kasvu;2049;567
980;kasvu;2050;563
980;muutos;2017;700
980;muutos;2018;700
980;muutos;2019;700
980;muutos;2020;692
980;muutos;2021;683
980;muutos;2022;675
980;muutos;2023;667
980;muutos;2024;659
980;muutos;2025;650
980;muutos;2026;642
980;muutos;2027;634
980;muutos;2028;626
980;muutos;2029;617
980;muutos;2030;609
980;muutos;2031;601
980;muutos;2032;593
980;muutos;2033;585
980;muutos;2034;577
980;muutos;2035;569
980;muutos;2036;561
980;muutos;2037;554
980;muutos;2038;546
980;muutos;2039;538
980;muutos;2040;530
980;muutos;2041;523
980;muutos;2042;516
980;muutos;2043;509
980;muutos;2044;502
980;muutos;2045;495
980;muutos;2046;489
980;muutos;2047;482
980;muutos;2048;475
980;muutos;2049;468
980;muutos;2050;461
980;saasto;2017;700
980;saasto;2018;700
980;saasto;2019;700
980;saasto;2020;691
980;saasto;2021;682
980;saasto;2022;673
980;saasto;2023;664
980;saasto;2024;655
980;saasto;2025;647
980;saasto;2026;638
980;saasto;2027;629
980;saasto;2028;620
980;saasto;2029;611
980;saasto;2030;602
980;saasto;2031;594
980;saasto;2032;585
980;saasto;2033;577
980;saasto;2034;568
980;saasto;2035;560
980;saasto;2036;551
980;saasto;2037;543
980;saasto;2038;535
980;saasto;2039;526
980;saasto;2040;518
980;saasto;2041;510
980;saasto;2042;503
980;saasto;2043;496
980;saasto;2044;489
980;saasto;2045;481
980;saasto;2046;474
980;saasto;2047;467
980;saasto;2048;460
980;saasto;2049;452
980;saasto;2050;445
980;pysahdys;2017;700
980;pysahdys;2018;700
980;pysahdys;2019;700
980;pysahdys;2020;697
980;pysahdys;2021;695
980;pysahdys;2022;692
980;pysahdys;2023;690
980;pysahdys;2024;687
980;pysahdys;2025;685
980;pysahdys;2026;682
980;pysahdys;2027;680
980;pysahdys;2028;677
980;pysahdys;2029;675
980;pysahdys;2030;672
980;pysahdys;2031;663
980;pysahdys;2032;655
980;pysahdys;2033;646
980;pysahdys;2034;637
980;pysahdys;2035;628
980;pysahdys;2036;620
980;pysahdys;2037;611
980;pysahdys;2038;602
980;pysahdys;2039;593
980;pysahdys;2040;585
980;pysahdys;2041;576
980;pysahdys;2042;568
980;pysahdys;2043;560
980;pysahdys;2044;552
980;pysahdys;2045;544
980;pysahdys;2046;536
980;pysahdys;2047;527
980;pysahdys;2048;519
980;pysahdys;2049;511
980;pysahdys;2050;503
922;wem;2017;750
922;wem;2018;750
922;wem;2019;750
922;wem;2020;748
922;wem;2021;746
922;wem;2022;744
922;wem;2023;742
922;wem;2024;740
922;wem;2025;738
922;wem;2026;736
922;wem;2027;734
922;wem;2028;732
922;wem;2029;730
922;wem;2030;728
922;wem;2031;725
922;wem;2032;723
922;wem;2033;721
922;wem;2034;719
922;wem;2035;717
922;wem;2036;714
922;wem;2037;712
922;wem;2038;710
922;wem;2039;708
922;wem;2040;706
922;wem;2041;704
922;wem;2042;701
922;wem;2043;699
922;wem;2044;697
922;wem;2045;695
922;wem;2046;693
922;wem;2047;691
922;wem;2048;689
922;wem;2049;687
922;wem;2050;685
922;eu80;2017;750
922;eu80;2018;750
922;eu80;2019;750
922;eu80;2020;745
922;eu80;2021;739
922;eu80;2022;734
922;eu80;2023;728
922;eu80;2024;723
922;eu80;2025;717
922;eu80;2026;712
922;eu80;2027;706
922;eu80;2028;701
922;eu80;2029;695
922;eu80;2030;690
922;eu80;2031;684
922;eu80;2032;679
922;eu80;2033;673
922;eu80;2034;668
922;eu80;2035;662
922;eu80;2036;657
922;eu80;2037;651
922;eu80;2038;646
922;eu80;2039;640
922;eu80;2040;635
922;eu80;2041;630
922;eu80;2042;625
922;eu80;2043;620
922;eu80;2044;614
922;eu80;2045;609
922;eu80;2046;604
922;eu80;2047;599
922;eu80;2048;594
922;eu80;2049;589
922;eu80;2050;584
922;kasvu;2017;750
922;kasvu;2018;750
922;kasvu;2019;750
922;kasvu;2020;745
922;kasvu;2021;740
922;kasvu;2022;736
922;kasvu;2023;731
922;kasvu;2024;726
922;kasvu;2025;721
922;kasvu;2026;717
922;kasvu;2027;712
922;kasvu;2028;707
922;kasvu;2029;702
922;kasvu;2030;698
922;kasvu;2031;693
922;kasvu;2032;688
922;kasvu;2033;683
922;kasvu;2034;678
922;kasvu;2035;673
922;kasvu;2036;668
922;kasvu;2037;663
922;kasvu;2038;658
922;kasvu;2039;654
922;kasvu;2040;649
922;kasvu;2041;644
922;kasvu;2042;640
922;kasvu;2043;635
922;kasvu;2044;631
922;kasvu;2045;626
922;kasvu;2046;621
922;kasvu;2047;617
922;kasvu;2048;612
922;kasvu;2049;608
922;kasvu;2050;603
922;muutos;2017;750
922;muutos;2018;750
922;muutos;2019;750
922;muutos;2020;741
922;muutos;2021;732
922;muutos;2022;723
922;muutos;2023;715
922;muutos;2024;706
922;muutos;2025;697
922;muutos;2026;688
922;muutos;2027;679
922;muutos;2028;670
922;muutos;2029;661
922;muutos;2030;653
922;muutos;2031;644
922;muutos;2032;636
922;muutos;2033;627
922;muutos;2034;619
922;muutos;2035;610
922;muutos;2036;602
922;muutos;2037;593
922;muutos;2038;585
922;muutos;2039;576
922;muutos;2040;568
922;muutos;2041;560
922;muutos;2042;553
922;muutos;2043;546
922;muutos;2044;538
922;muutos;2045;531
922;muutos;2046;523
922;muutos;2047;516
922;muutos;2048;509
922;muutos;2049;501
922;muutos;2050;494
922;saasto;2017;750
922;saasto;2018;750
922;saasto;2019;750
922;saasto;2020;740
922;saasto;2021;731
922;saasto;2022;721
922;saasto;2023;712
922;saasto;2024;702
922;saasto;2025;693
922;saasto;2026;683
922;saasto;2027;674
922;saasto;2028;664
922;saasto;2029;655
922;saasto;2030;645
922;saasto;2031;636
922;saasto;2032;627
922;saasto;2033;618
922;saasto;2034;609
922;saasto;2035;600
922;saasto;2036;591
922;saasto;2037;582
922;saasto;2038;573
922;saasto;2039;564
922;saasto;2040;555
922;saasto;2041;547
922;saasto;2042;539
922;saasto;2043;531
922;saasto;2044;524
922;saasto;2045;516
922;saasto;2046;508
922;saasto;2047;500
922;saasto;2048;493
922;saasto;2049;485
922;saasto;2050;477
922;pysahdys;2017;750
922;pysahdys;2018;750
922;pysahdys;2019;750
922;pysahdys;2020;747
922;pysahdys;2021;745
922;pysahdys;2022;742
922;pysahdys;2023;739
922;pysahdys;2024;736
922;pysahdys;2025;734
922;pysahdys;2026;731
922;pysahdys;2027;728
922;pysahdys;2028;725
922;pysahdys;2029;723
922;pysahdys;2030;720
922;pysahdys;2031;711
922;pysahdys;2032;701
922;pysahdys;2033;692
922;pysahdys;2034;683
922;pysahdys;2035;673
922;pysahdys;2036;664
922;pysahdys;2037;654
922;pysahdys;2038;645
922;pysahdys;2039;636
922;pysahdys;2040;626
922;pysahdys;2041;618
922;pysahdys;2042;609
922;pysahdys;2043;600
922;pysahdys;2044;591
922;pysahdys;2045;583
922;pysahdys;2046;574
922;pysahdys;2047;565
922;pysahdys;2048;556
922;pysahdys;2049;547
922;pysahdys;2050;539
837;wem;2017;500
837;wem;2018;500
837;wem;2019;500
837;wem;2020;498
837;wem;2021;495
837;wem;2022;493
837;wem;2023;491
837;wem;2024;489
837;wem;2025;486
837;wem;2026;484
837;wem;2027;482
837;wem;2028;480
837;wem;2029;477
837;wem;2030;475
837;wem;2031;473
837;wem;2032;470
837;wem;2033;468
837;wem;2034;466
837;wem;2035;463
837;wem;2036;461
837;wem;2037;458
837;wem;2038;456
837;wem;2039;454
837;wem;2040;451
837;wem;2041;449
837;wem;2042;447
837;wem;2043;444
837;wem;2044;442
837;wem;2045;440
837;wem;2046;438
837;wem;2047;435
837;wem;2048;433
837;wem;2049;431
837;wem;2050;429
837;eu80;2017;500
837;eu80;2018;500
837;eu80;2019;500
837;eu80;2020;496
837;eu80;2021;492
837;eu80;2022;488
837;eu80;2023;484
837;eu80;2024;480
837;eu80;2025;475
837;eu80;2026;471
837;eu80;2027;467
837;eu80;2028;463
837;eu80;2029;459
837;eu80;2030;455
837;eu80;2031;451
837;eu80;2032;447
837;eu80;2033;443
837;eu80;2034;439
837;eu80;2035;435
837;eu80;2036;430
837;eu80;2037;426
837;eu80;2038;422
837;eu80;2039;418
837;eu80;2040;414
837;eu80;2041;410
837;eu80;2042;407
837;eu80;2043;403
837;eu80;2044;399
837;eu80;2045;395
837;eu80;2046;392
837;eu80;2047;388
837;eu80;2048;384
837;eu80;2049;381
837;eu80;2050;377
837;kasvu;2017;500
837;kasvu;2018;500
837;kasvu;2019;500
837;kasvu;2020;496
837;kasvu;2021;492
837;kasvu;2022;488
837;kasvu;2023;484
