scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemp;erpien;kaukolampo;-0.0063;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0063;0.0000
wemp;erpien;kevyt_oljy;0.0059;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0529;0.0000
wemp;erpien;raskas_oljy;0.0059;0.0000;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0529;0.0000
wemp;erpien;kaasu;0.0031;0.0000;0.0000;-0.0313;0.0000;0.0000;0.0000;0.0000;0.0281;0.0000
wemp;erpien;sahko;0.0004;0.0000;0.0000;0.0000;-0.0078;0.0000;0.0000;0.0000;0.0074;0.0000
wemp;erpien;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0588;-0.0588;0.0000;0.0000
wemp;erpien;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0588;0.0000;0.0588;0.0000
wemp;erpien;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0588;0.0588;0.0000
wemp;erpien;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;erpien;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;rivita;kaukolampo;-0.0063;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0063;0.0000
wemp;rivita;kevyt_oljy;0.0118;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0471;0.0000
wemp;rivita;raskas_oljy;0.0118;0.0000;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0471;0.0000
wemp;rivita;kaasu;0.0059;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;rivita;sahko;0.0016;0.0000;0.0000;0.0000;-0.0156;0.0000;0.0000;0.0000;0.0141;0.0000
wemp;rivita;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0588;-0.0588;0.0000;0.0000
wemp;rivita;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0588;0.0000;0.0588;0.0000
