vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;635;3521256805375;64;5;2;1;7;7;29;9;4
2019;635;3523756805375;3;0;0;0;0;0;1;0;2
2019;635;3526256805375;3;0;0;1;0;1;1;0;0
2019;635;3528756805375;12;2;3;0;1;4;1;1;0
2019;635;3543756805375;1;0;0;0;0;0;0;1;0
2019;635;3548756805375;2;0;0;0;0;0;2;0;0
2019;635;3628756805375;5;0;2;1;0;0;2;0;0
2019;635;3633756805375;3;0;0;0;0;0;3;0;0
2019;635;3713756805375;2;0;0;0;0;0;2;0;0
2019;635;3716256805375;3;0;1;0;0;1;1;0;0
2019;635;3736256805375;19;0;2;2;2;4;6;1;2
2019;635;3738756805375;28;0;1;1;4;5;6;4;7
2019;635;3741256805375;5;1;0;0;0;2;2;0;0
2019;635;3743756805375;4;0;0;0;0;0;3;0;1
2019;635;3746256805375;17;0;2;0;0;3;4;4;4
2019;635;3748756805375;39;0;2;2;3;5;8;9;10
2019;635;3751256805375;6;0;0;0;0;0;2;3;1
2019;635;3768756805375;3;0;0;0;0;0;0;0;3
2019;635;3771256805375;1;0;0;0;0;0;0;0;1
2019;635;3493756805625;2;0;0;0;0;0;2;0;0
2019;635;3496256805625;3;1;0;0;1;1;0;0;0
2019;635;3503756805625;6;0;0;0;0;2;2;1;1
2019;635;3506256805625;1;0;0;0;0;1;0;0;0
2019;635;3516256805625;4;1;1;0;0;2;0;0;0
2019;635;3518756805625;58;5;6;3;4;12;16;5;7
2019;635;3521256805625;8;0;1;1;0;1;5;0;0
2019;635;3523756805625;8;2;0;0;1;1;3;1;0
2019;635;3526256805625;6;0;0;0;1;1;3;1;0
2019;635;3528756805625;2;0;0;0;1;1;0;0;0
2019;635;3531256805625;4;2;0;0;0;2;0;0;0
2019;635;3533756805625;1;0;0;0;0;1;0;0;0
2019;635;3538756805625;2;0;0;0;0;0;0;1;1
2019;790;2951256827875;9;0;0;0;1;1;3;4;0
2019;790;2646256828125;7;2;0;0;0;1;2;1;1
2019;790;2651256828125;5;0;0;1;2;2;0;0;0
2019;790;2711256828125;2;0;0;0;0;0;2;0;0
2019;790;2751256828125;3;0;1;0;0;2;0;0;0
2019;790;2786256828125;3;0;0;0;0;1;0;2;0
2019;790;2816256828125;2;0;0;0;0;0;2;0;0
2019;790;2843756828125;2;0;0;0;0;0;1;1;0
2019;790;2851256828125;2;0;0;0;0;0;1;0;1
2019;790;2856256828125;1;0;0;0;0;0;0;1;0
2019;790;2868756828125;1;0;0;0;0;0;1;0;0
2019;790;2873756828125;2;0;0;0;0;0;0;2;0
2019;790;2921256828125;3;0;0;0;1;0;1;1;0
2019;790;2923756828125;5;2;1;0;1;1;0;0;0
2019;790;2926256828125;2;0;0;0;1;0;1;0;0
2019;790;2928756828125;1;0;0;0;0;0;0;0;1
2019;790;2933756828125;2;0;0;0;0;0;2;0;0
2019;790;2948756828125;4;1;1;0;0;2;0;0;0
2019;790;2951256828125;5;0;0;1;1;1;0;2;0
2019;790;2976256828125;2;0;0;0;0;2;0;0;0
2019;790;2718756828375;2;0;0;0;0;0;2;0;0
