mun;scenario;year;jalkapyora;bussi;raide;hlauto;muu
980;wem;2017;1;21;147;1.7;1.8
980;wem;2018;1;21;147;1.7;1.8
980;wem;2019;1;21;147;1.7;1.8
980;wem;2020;1;21;147;1.7;1.8
980;wem;2021;1;21;142;1.7;1.8
980;wem;2022;1;21;139;1.7;1.8
980;wem;2023;1;21;136;1.7;1.8
980;wem;2024;1;21;134;1.7;1.8
980;wem;2025;1;21;131;1.7;1.8
980;wem;2026;1;21;128;1.7;1.8
980;wem;2027;1;21;125;1.7;1.8
980;wem;2028;1;21;125;1.7;1.8
980;wem;2029;1;21;125;1.7;1.8
980;wem;2030;1;21;125;1.7;1.8
980;wem;2031;1;21;125;1.7;1.8
980;wem;2032;1;21;125;1.7;1.8
980;wem;2033;1;21;125;1.7;1.8
980;wem;2034;1;21;125;1.7;1.8
980;wem;2035;1;21;125;1.7;1.8
980;wem;2036;1;21;125;1.7;1.8
980;wem;2037;1;21;125;1.7;1.8
980;wem;2038;1;21;125;1.7;1.8
980;wem;2039;1;21;125;1.7;1.8
980;wem;2040;1;21;125;1.7;1.8
980;wem;2041;1;21;125;1.7;1.8
980;wem;2042;1;21;125;1.7;1.8
980;wem;2043;1;21;125;1.7;1.8
980;wem;2044;1;21;125;1.7;1.8
980;wem;2045;1;21;125;1.7;1.8
980;wem;2046;1;21;125;1.7;1.8
980;wem;2047;1;21;125;1.7;1.8
980;wem;2048;1;21;125;1.7;1.8
980;wem;2049;1;21;125;1.7;1.8
980;wem;2050;1;21;125;1.7;1.8
980;eu80;2017;1;21;147;1.7;1.8
980;eu80;2018;1;21;147;1.7;1.8
980;eu80;2019;1;21;147;1.7;1.8
980;eu80;2020;1;21;147;1.7;1.8
980;eu80;2021;1;21;142;1.7;1.8
980;eu80;2022;1;21;139;1.7;1.8
980;eu80;2023;1;21;136;1.7;1.8
980;eu80;2024;1;21;134;1.7;1.8
980;eu80;2025;1;21;131;1.7;1.8
980;eu80;2026;1;21;128;1.7;1.8
980;eu80;2027;1;21;125;1.7;1.8
980;eu80;2028;1;21;125;1.7;1.8
980;eu80;2029;1;21;125;1.7;1.8
980;eu80;2030;1;21;125;1.7;1.8
980;eu80;2031;1;21;125;1.7;1.8
980;eu80;2032;1;21;125;1.7;1.8
980;eu80;2033;1;21;125;1.7;1.8
980;eu80;2034;1;21;125;1.7;1.8
980;eu80;2035;1;21;125;1.7;1.8
980;eu80;2036;1;21;125;1.7;1.8
980;eu80;2037;1;21;125;1.7;1.8
980;eu80;2038;1;21;125;1.7;1.8
980;eu80;2039;1;21;125;1.7;1.8
980;eu80;2040;1;21;125;1.7;1.8
980;eu80;2041;1;21;125;1.7;1.8
980;eu80;2042;1;21;125;1.7;1.8
980;eu80;2043;1;21;125;1.7;1.8
980;eu80;2044;1;21;125;1.7;1.8
980;eu80;2045;1;21;125;1.7;1.8
980;eu80;2046;1;21;125;1.7;1.8
980;eu80;2047;1;21;125;1.7;1.8
980;eu80;2048;1;21;125;1.7;1.8
980;eu80;2049;1;21;125;1.7;1.8
980;eu80;2050;1;21;125;1.7;1.8
980;kasvu;2017;1;21;147;1.7;1.8
980;kasvu;2018;1;21;147;1.7;1.8
980;kasvu;2019;1;21;147;1.7;1.8
980;kasvu;2020;1;21;147;1.7;1.8
980;kasvu;2021;1;21;142;1.7;1.8
980;kasvu;2022;1;21;139;1.7;1.8
980;kasvu;2023;1;21;136;1.7;1.8
980;kasvu;2024;1;21;134;1.7;1.8
980;kasvu;2025;1;21;131;1.7;1.8
980;kasvu;2026;1;21;128;1.7;1.8
980;kasvu;2027;1;21;125;1.7;1.8
980;kasvu;2028;1;21;125;1.7;1.8
980;kasvu;2029;1;21;125;1.7;1.8
980;kasvu;2030;1;21;125;1.7;1.8
980;kasvu;2031;1;21;125;1.7;1.8
980;kasvu;2032;1;21;125;1.7;1.8
980;kasvu;2033;1;21;125;1.7;1.8
980;kasvu;2034;1;21;125;1.7;1.8
980;kasvu;2035;1;21;125;1.7;1.8
980;kasvu;2036;1;21;125;1.7;1.8
980;kasvu;2037;1;21;125;1.7;1.8
980;kasvu;2038;1;21;125;1.7;1.8
980;kasvu;2039;1;21;125;1.7;1.8
980;kasvu;2040;1;21;125;1.7;1.8
980;kasvu;2041;1;21;125;1.7;1.8
980;kasvu;2042;1;21;125;1.7;1.8
980;kasvu;2043;1;21;125;1.7;1.8
980;kasvu;2044;1;21;125;1.7;1.8
980;kasvu;2045;1;21;125;1.7;1.8
980;kasvu;2046;1;21;125;1.7;1.8
980;kasvu;2047;1;21;125;1.7;1.8
