scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
wem;2017;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
wem;2017;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
wem;2018;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
wem;2018;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2019;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
wem;2019;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
wem;2020;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
wem;2020;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
wem;2021;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;31;81
wem;2021;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
wem;2022;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;31;81
wem;2022;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2023;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;31;81
wem;2023;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2024;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;31;81
wem;2024;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2025;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;31;81
wem;2025;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2026;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;32;81
wem;2026;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
wem;2027;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;32;81
wem;2027;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;52;81
wem;2028;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;32;81
wem;2028;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;52;81
wem;2029;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;32;81
wem;2029;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;52;81
wem;2030;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;32;81
wem;2030;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;52;81
wem;2031;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;33;81
wem;2031;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;52;81
wem;2032;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;33;81
wem;2032;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;53;81
wem;2033;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;33;81
wem;2033;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;53;81
wem;2034;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;33;81
wem;2034;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;53;81
wem;2035;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;33;81
wem;2035;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;53;81
wem;2036;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;34;81
wem;2036;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;53;81
wem;2037;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;34;81
wem;2037;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;54;81
wem;2038;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;34;81
wem;2038;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;54;81
wem;2039;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;34;81
wem;2039;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;54;81
wem;2040;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;34;81
wem;2040;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;54;81
wem;2041;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;35;81
wem;2041;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;54;81
wem;2042;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;35;81
wem;2042;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;55;81
wem;2043;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;35;81
wem;2043;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;55;81
wem;2044;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;35;81
wem;2044;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;55;81
wem;2045;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;35;81
wem;2045;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;55;81
wem;2046;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;36;81
wem;2046;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;55;81
wem;2047;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;36;81
wem;2047;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;56;81
wem;2048;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;36;81
