mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
837;wemp;2018;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2018;bussi;0.000;0.000;0.993;0.004;0.000;0.000;0.002;0.000;0.000
837;wemp;2018;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2018;hlauto;0.599;0.001;0.372;0.006;0.016;0.003;0.003;0.000;0.000
837;wemp;2018;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2018;pauto;0.011;0.000;0.987;0.001;0.000;0.000;0.000;0.000;0.000
837;wemp;2018;kauto;0.000;0.000;0.998;0.000;0.000;0.000;0.001;0.000;0.001
837;wemp;2019;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2019;bussi;0.000;0.000;0.992;0.004;0.000;0.000;0.005;0.000;0.000
837;wemp;2019;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2019;hlauto;0.594;0.001;0.368;0.007;0.021;0.004;0.004;0.000;0.000
837;wemp;2019;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2019;pauto;0.011;0.000;0.986;0.002;0.000;0.000;0.000;0.000;0.000
837;wemp;2019;kauto;0.000;0.000;0.996;0.000;0.000;0.000;0.002;0.000;0.002
837;wemp;2020;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2020;bussi;0.000;0.000;0.987;0.004;0.000;0.000;0.009;0.000;0.000
837;wemp;2020;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2020;hlauto;0.591;0.001;0.368;0.007;0.023;0.004;0.005;0.000;0.000
837;wemp;2020;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2020;pauto;0.011;0.000;0.985;0.002;0.000;0.000;0.000;0.000;0.000
837;wemp;2020;kauto;0.000;0.000;0.994;0.000;0.000;0.000;0.002;0.000;0.003
837;wemp;2021;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2021;bussi;0.000;0.000;0.922;0.006;0.000;0.000;0.072;0.000;0.000
837;wemp;2021;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2021;hlauto;0.588;0.001;0.368;0.008;0.025;0.004;0.006;0.000;0.000
837;wemp;2021;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2021;pauto;0.013;0.000;0.979;0.003;0.000;0.000;0.003;0.000;0.000
837;wemp;2021;kauto;0.000;0.000;0.992;0.003;0.000;0.000;0.003;0.000;0.002
837;wemp;2022;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2022;bussi;0.000;0.000;0.858;0.007;0.000;0.000;0.135;0.000;0.000
837;wemp;2022;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2022;hlauto;0.563;0.003;0.362;0.006;0.040;0.003;0.024;0.000;0.000
837;wemp;2022;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2022;pauto;0.015;0.000;0.974;0.004;0.001;0.000;0.006;0.000;0.000
837;wemp;2022;kauto;0.000;0.000;0.992;0.008;0.000;0.000;0.000;0.000;0.000
837;wemp;2023;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2023;bussi;0.000;0.000;0.819;0.008;0.000;0.000;0.172;0.000;0.000
837;wemp;2023;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2023;hlauto;0.545;0.003;0.346;0.006;0.051;0.003;0.045;0.000;0.000
837;wemp;2023;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2023;pauto;0.015;0.000;0.967;0.004;0.001;0.000;0.012;0.000;0.000
837;wemp;2023;kauto;0.000;0.000;0.989;0.010;0.000;0.000;0.001;0.000;0.000
837;wemp;2024;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2024;bussi;0.000;0.000;0.784;0.009;0.000;0.000;0.207;0.000;0.000
837;wemp;2024;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2024;hlauto;0.526;0.003;0.330;0.006;0.062;0.003;0.069;0.000;0.000
837;wemp;2024;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2024;pauto;0.014;0.000;0.956;0.004;0.001;0.000;0.024;0.000;0.000
837;wemp;2024;kauto;0.000;0.000;0.986;0.012;0.000;0.000;0.002;0.000;0.000
837;wemp;2025;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2025;bussi;0.000;0.000;0.690;0.009;0.000;0.000;0.301;0.000;0.000
837;wemp;2025;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2025;hlauto;0.505;0.004;0.313;0.006;0.072;0.004;0.097;0.000;0.000
837;wemp;2025;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2025;pauto;0.014;0.000;0.942;0.004;0.001;0.000;0.037;0.000;0.000
837;wemp;2025;kauto;0.000;0.000;0.980;0.015;0.000;0.000;0.005;0.000;0.000
837;wemp;2026;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2026;bussi;0.000;0.000;0.642;0.008;0.000;0.000;0.349;0.000;0.000
837;wemp;2026;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2026;hlauto;0.483;0.004;0.295;0.006;0.080;0.004;0.129;0.000;0.000
837;wemp;2026;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2026;pauto;0.014;0.000;0.926;0.004;0.002;0.000;0.054;0.000;0.000
837;wemp;2026;kauto;0.000;0.000;0.971;0.019;0.000;0.000;0.010;0.000;0.000
837;wemp;2027;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2027;bussi;0.000;0.000;0.593;0.008;0.000;0.000;0.399;0.000;0.000
837;wemp;2027;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2027;hlauto;0.458;0.004;0.276;0.006;0.089;0.004;0.164;0.000;0.000
837;wemp;2027;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2027;pauto;0.013;0.000;0.905;0.004;0.002;0.000;0.075;0.000;0.000
837;wemp;2027;kauto;0.000;0.000;0.961;0.023;0.000;0.001;0.016;0.000;0.000
837;wemp;2028;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2028;bussi;0.000;0.000;0.543;0.007;0.000;0.000;0.450;0.000;0.000
837;wemp;2028;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2028;hlauto;0.431;0.004;0.256;0.006;0.096;0.004;0.204;0.000;0.000
837;wemp;2028;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2028;pauto;0.013;0.000;0.878;0.004;0.002;0.000;0.102;0.000;0.000
837;wemp;2028;kauto;0.000;0.000;0.949;0.028;0.000;0.001;0.022;0.000;0.000
837;wemp;2029;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2029;bussi;0.000;0.000;0.495;0.006;0.000;0.000;0.499;0.000;0.000
837;wemp;2029;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2029;hlauto;0.401;0.004;0.235;0.005;0.101;0.003;0.249;0.000;0.000
837;wemp;2029;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2029;pauto;0.013;0.000;0.845;0.003;0.002;0.000;0.137;0.000;0.000
837;wemp;2029;kauto;0.000;0.000;0.936;0.032;0.000;0.002;0.030;0.000;0.000
837;wemp;2030;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2030;bussi;0.000;0.000;0.447;0.006;0.000;0.000;0.547;0.000;0.000
837;wemp;2030;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2030;hlauto;0.368;0.004;0.212;0.005;0.106;0.003;0.301;0.000;0.000
837;wemp;2030;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2030;pauto;0.012;0.000;0.804;0.003;0.002;0.000;0.178;0.000;0.000
837;wemp;2030;kauto;0.000;0.000;0.921;0.037;0.000;0.003;0.039;0.000;0.000
837;wemp;2031;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2031;bussi;0.000;0.000;0.403;0.005;0.000;0.000;0.592;0.000;0.000
837;wemp;2031;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2031;hlauto;0.334;0.004;0.191;0.005;0.109;0.003;0.354;0.000;0.000
837;wemp;2031;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2031;pauto;0.012;0.000;0.757;0.003;0.002;0.000;0.226;0.000;0.000
837;wemp;2031;kauto;0.000;0.000;0.905;0.041;0.000;0.004;0.049;0.000;0.000
837;wemp;2032;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2032;bussi;0.000;0.000;0.363;0.005;0.000;0.000;0.632;0.000;0.000
837;wemp;2032;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2032;hlauto;0.302;0.003;0.171;0.005;0.110;0.003;0.406;0.000;0.000
837;wemp;2032;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2032;pauto;0.011;0.000;0.705;0.002;0.002;0.000;0.279;0.001;0.000
837;wemp;2032;kauto;0.000;0.000;0.888;0.045;0.000;0.006;0.061;0.000;0.000
837;wemp;2033;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2033;bussi;0.000;0.000;0.327;0.004;0.000;0.000;0.669;0.000;0.000
837;wemp;2033;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2033;hlauto;0.272;0.003;0.153;0.004;0.109;0.003;0.457;0.000;0.000
837;wemp;2033;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2033;pauto;0.010;0.000;0.648;0.002;0.001;0.000;0.336;0.001;0.000
837;wemp;2033;kauto;0.000;0.000;0.869;0.050;0.000;0.008;0.073;0.000;0.000
837;wemp;2034;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2034;bussi;0.000;0.000;0.294;0.004;0.000;0.000;0.702;0.000;0.000
837;wemp;2034;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2034;hlauto;0.244;0.003;0.135;0.004;0.106;0.002;0.506;0.000;0.000
837;wemp;2034;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2034;pauto;0.009;0.000;0.589;0.002;0.001;0.000;0.395;0.003;0.000
837;wemp;2034;kauto;0.000;0.000;0.849;0.054;0.000;0.010;0.087;0.000;0.000
837;wemp;2035;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2035;bussi;0.000;0.000;0.265;0.003;0.000;0.000;0.732;0.000;0.000
837;wemp;2035;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2035;hlauto;0.217;0.002;0.119;0.004;0.102;0.002;0.553;0.000;0.000
837;wemp;2035;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2035;pauto;0.009;0.000;0.529;0.001;0.001;0.000;0.453;0.006;0.000
837;wemp;2035;kauto;0.000;0.000;0.827;0.058;0.000;0.013;0.101;0.000;0.000
837;wemp;2036;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2036;bussi;0.000;0.000;0.238;0.003;0.000;0.000;0.759;0.000;0.000
837;wemp;2036;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2036;hlauto;0.193;0.002;0.105;0.003;0.098;0.002;0.596;0.000;0.000
837;wemp;2036;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2036;pauto;0.008;0.000;0.472;0.001;0.001;0.000;0.508;0.010;0.000
