scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2018;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2018;bussi;4.23;4.23;3.85;4.32;4.26;4.26;1.42;1.42;0.00
wemp;2018;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.57;0.00;0.00
wemp;2018;hlauto;0.63;0.59;0.59;0.54;0.41;0.39;0.19;0.20;0.00
wemp;2018;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
wemp;2018;pauto;1.18;1.07;1.07;0.98;0.33;0.00;0.36;0.12;0.00
wemp;2018;kauto;2.88;2.61;2.38;2.14;2.24;2.24;1.50;1.50;0.00
wemp;2019;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2019;bussi;4.11;4.11;3.74;4.20;4.13;4.13;1.38;1.38;0.00
wemp;2019;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.51;0.00;0.00
wemp;2019;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemp;2019;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
wemp;2019;pauto;1.16;1.06;1.06;0.98;0.33;0.00;0.36;0.12;0.00
wemp;2019;kauto;2.87;2.61;2.37;2.13;2.24;2.24;1.49;1.49;0.00
wemp;2020;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2020;bussi;3.99;3.99;3.63;4.08;4.01;4.01;1.34;1.34;0.00
wemp;2020;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.46;0.00;0.00
wemp;2020;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemp;2020;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
wemp;2020;pauto;1.15;1.05;1.05;0.98;0.33;0.00;0.35;0.12;0.00
wemp;2020;kauto;2.86;2.60;2.36;2.13;2.23;2.23;1.49;1.49;0.00
wemp;2021;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2021;bussi;3.87;3.87;3.52;3.96;3.90;3.90;1.30;1.30;0.00
wemp;2021;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.86;0.00;0.00
wemp;2021;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.19;0.20;0.00
wemp;2021;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
wemp;2021;pauto;1.14;1.04;1.04;0.97;0.33;0.00;0.35;0.12;0.00
wemp;2021;kauto;2.85;2.59;2.36;2.12;2.23;2.23;1.48;1.48;0.00
wemp;2022;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2022;bussi;3.76;3.76;3.42;3.84;3.79;3.79;1.26;1.26;0.00
wemp;2022;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.28;0.00;0.00
wemp;2022;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.18;0.20;0.00
wemp;2022;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.24
wemp;2022;pauto;1.13;1.03;1.03;0.97;0.33;0.00;0.35;0.12;0.00
wemp;2022;kauto;2.85;2.59;2.35;2.12;2.22;2.22;1.48;1.48;0.00
wemp;2023;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2023;bussi;3.65;3.65;3.32;3.73;3.68;3.68;1.23;1.23;0.00
wemp;2023;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.72;0.00;0.00
wemp;2023;hlauto;0.62;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2023;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.23
wemp;2023;pauto;1.10;1.01;1.01;0.97;0.32;0.00;0.34;0.12;0.00
wemp;2023;kauto;2.84;2.58;2.35;2.11;2.22;2.22;1.48;1.48;0.00
wemp;2024;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2024;bussi;3.54;3.54;3.22;3.62;3.57;3.57;1.19;1.19;0.00
wemp;2024;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.16;0.00;0.00
wemp;2024;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2024;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.22
wemp;2024;pauto;1.07;0.99;0.99;0.97;0.32;0.00;0.34;0.12;0.00
wemp;2024;kauto;2.83;2.57;2.34;2.10;2.21;2.21;1.47;1.47;0.00
wemp;2025;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2025;bussi;3.40;3.40;3.10;3.48;3.43;3.43;1.14;1.14;0.00
wemp;2025;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.62;0.00;0.00
wemp;2025;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2025;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.21
wemp;2025;pauto;1.05;0.98;0.98;0.97;0.32;0.00;0.34;0.12;0.00
wemp;2025;kauto;2.81;2.55;2.32;2.09;2.19;2.19;1.46;1.46;0.00
wemp;2026;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2026;bussi;3.25;3.25;2.95;3.32;3.27;3.27;1.09;1.09;0.00
wemp;2026;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.43;0.00;0.00
wemp;2026;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2026;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.20
wemp;2026;pauto;1.03;0.96;0.96;0.97;0.32;0.00;0.34;0.12;0.00
wemp;2026;kauto;2.78;2.53;2.30;2.07;2.17;2.17;1.45;1.45;0.00
wemp;2027;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2027;bussi;3.08;3.08;2.80;3.15;3.10;3.10;1.03;1.03;0.00
wemp;2027;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.25;0.00;0.00
wemp;2027;hlauto;0.61;0.60;0.58;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2027;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.19
wemp;2027;pauto;1.01;0.94;0.94;0.96;0.32;0.00;0.34;0.12;0.00
wemp;2027;kauto;2.75;2.50;2.27;2.05;2.15;2.15;1.43;1.43;0.00
wemp;2028;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2028;bussi;2.91;2.91;2.65;2.98;2.93;2.93;0.98;0.98;0.00
wemp;2028;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
wemp;2028;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.20;0.00
wemp;2028;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.17
wemp;2028;pauto;0.99;0.93;0.93;0.96;0.32;0.00;0.34;0.12;0.00
wemp;2028;kauto;2.71;2.46;2.24;2.02;2.12;2.12;1.41;1.41;0.00
wemp;2029;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2029;bussi;2.75;2.75;2.50;2.81;2.76;2.76;0.92;0.92;0.00
wemp;2029;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
wemp;2029;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
wemp;2029;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.16
wemp;2029;pauto;0.98;0.91;0.91;0.96;0.32;0.00;0.33;0.12;0.00
wemp;2029;kauto;2.67;2.42;2.20;1.98;2.08;2.08;1.39;1.39;0.00
wemp;2030;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2030;bussi;2.58;2.58;2.35;2.64;2.60;2.60;0.87;0.87;0.00
wemp;2030;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.72;0.00;0.00
