scenario;year;kmuoto;myymal_hyper;myymal_super;myymal_pien;myymal_muu;majoit;asla;ravint;tsto;liiken;hoito;kokoon;opetus;muut
wemp;2018;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2018;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2019;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2019;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2020;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2020;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2021;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2021;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2022;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2022;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2023;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2023;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2024;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2024;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2025;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2025;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2026;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2026;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2027;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2027;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2028;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2028;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2029;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2029;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2030;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2030;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2031;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2031;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2032;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2032;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2033;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2033;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2034;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
