mun;scenario;year;jalkapyora;bussi;raide;hlauto;muu
980;wem;2017;1;33;408;1.3;1.8
980;wem;2018;1;33;408;1.3;1.8
980;wem;2019;1;33;408;1.3;1.8
980;wem;2020;1;33;408;1.3;1.8
980;wem;2021;1;33;393;1.3;1.8
980;wem;2022;1;33;386;1.3;1.8
980;wem;2023;1;33;378;1.3;1.8
980;wem;2024;1;33;371;1.3;1.8
980;wem;2025;1;33;363;1.3;1.8
980;wem;2026;1;33;356;1.3;1.8
980;wem;2027;1;33;348;1.3;1.8
980;wem;2028;1;33;348;1.3;1.8
980;wem;2029;1;33;348;1.3;1.8
980;wem;2030;1;33;348;1.3;1.8
980;wem;2031;1;33;348;1.3;1.8
980;wem;2032;1;33;348;1.3;1.8
980;wem;2033;1;33;348;1.3;1.8
980;wem;2034;1;33;348;1.3;1.8
980;wem;2035;1;33;348;1.3;1.8
980;wem;2036;1;33;348;1.3;1.8
980;wem;2037;1;33;348;1.3;1.8
980;wem;2038;1;33;348;1.3;1.8
980;wem;2039;1;33;348;1.3;1.8
980;wem;2040;1;33;348;1.3;1.8
980;wem;2041;1;33;348;1.3;1.8
980;wem;2042;1;33;348;1.3;1.8
980;wem;2043;1;33;348;1.3;1.8
980;wem;2044;1;33;348;1.3;1.8
980;wem;2045;1;33;348;1.3;1.8
980;wem;2046;1;33;348;1.3;1.8
980;wem;2047;1;33;348;1.3;1.8
980;wem;2048;1;33;348;1.3;1.8
980;wem;2049;1;33;348;1.3;1.8
980;wem;2050;1;33;348;1.3;1.8
980;eu80;2017;1;33;408;1.3;1.8
980;eu80;2018;1;33;408;1.3;1.8
980;eu80;2019;1;33;408;1.3;1.8
980;eu80;2020;1;33;408;1.3;1.8
980;eu80;2021;1;33;393;1.3;1.8
980;eu80;2022;1;33;386;1.3;1.8
980;eu80;2023;1;33;378;1.3;1.8
980;eu80;2024;1;33;371;1.3;1.8
980;eu80;2025;1;33;363;1.3;1.8
980;eu80;2026;1;33;356;1.3;1.8
980;eu80;2027;1;33;348;1.3;1.8
980;eu80;2028;1;33;348;1.3;1.8
980;eu80;2029;1;33;348;1.3;1.8
980;eu80;2030;1;33;348;1.3;1.8
980;eu80;2031;1;33;348;1.3;1.8
980;eu80;2032;1;33;348;1.3;1.8
980;eu80;2033;1;33;348;1.3;1.8
980;eu80;2034;1;33;348;1.3;1.8
980;eu80;2035;1;33;348;1.3;1.8
980;eu80;2036;1;33;348;1.3;1.8
980;eu80;2037;1;33;348;1.3;1.8
980;eu80;2038;1;33;348;1.3;1.8
980;eu80;2039;1;33;348;1.3;1.8
980;eu80;2040;1;33;348;1.3;1.8
980;eu80;2041;1;33;348;1.3;1.8
980;eu80;2042;1;33;348;1.3;1.8
980;eu80;2043;1;33;348;1.3;1.8
980;eu80;2044;1;33;348;1.3;1.8
980;eu80;2045;1;33;348;1.3;1.8
980;eu80;2046;1;33;348;1.3;1.8
980;eu80;2047;1;33;348;1.3;1.8
980;eu80;2048;1;33;348;1.3;1.8
980;eu80;2049;1;33;348;1.3;1.8
980;eu80;2050;1;33;348;1.3;1.8
980;kasvu;2017;1;33;408;1.3;1.8
980;kasvu;2018;1;33;408;1.3;1.8
980;kasvu;2019;1;33;408;1.3;1.8
980;kasvu;2020;1;33;408;1.3;1.8
980;kasvu;2021;1;33;393;1.3;1.8
980;kasvu;2022;1;33;386;1.3;1.8
980;kasvu;2023;1;33;378;1.3;1.8
980;kasvu;2024;1;33;371;1.3;1.8
980;kasvu;2025;1;33;363;1.3;1.8
980;kasvu;2026;1;33;356;1.3;1.8
980;kasvu;2027;1;33;348;1.3;1.8
980;kasvu;2028;1;33;348;1.3;1.8
980;kasvu;2029;1;33;348;1.3;1.8
980;kasvu;2030;1;33;348;1.3;1.8
980;kasvu;2031;1;33;348;1.3;1.8
980;kasvu;2032;1;33;348;1.3;1.8
980;kasvu;2033;1;33;348;1.3;1.8
980;kasvu;2034;1;33;348;1.3;1.8
980;kasvu;2035;1;33;348;1.3;1.8
980;kasvu;2036;1;33;348;1.3;1.8
980;kasvu;2037;1;33;348;1.3;1.8
980;kasvu;2038;1;33;348;1.3;1.8
980;kasvu;2039;1;33;348;1.3;1.8
980;kasvu;2040;1;33;348;1.3;1.8
980;kasvu;2041;1;33;348;1.3;1.8
980;kasvu;2042;1;33;348;1.3;1.8
980;kasvu;2043;1;33;348;1.3;1.8
980;kasvu;2044;1;33;348;1.3;1.8
980;kasvu;2045;1;33;348;1.3;1.8
980;kasvu;2046;1;33;348;1.3;1.8
980;kasvu;2047;1;33;348;1.3;1.8
980;kasvu;2048;1;33;348;1.3;1.8
980;kasvu;2049;1;33;348;1.3;1.8
980;kasvu;2050;1;33;348;1.3;1.8
980;muutos;2017;1;33;408;1.3;1.8
980;muutos;2018;1;33;412;1.3;1.8
980;muutos;2019;1;33;417;1.3;1.8
980;muutos;2020;1;33;421;1.3;1.8
980;muutos;2021;1;33;408;1.3;1.8
980;muutos;2022;1;33;404;1.4;1.8
980;muutos;2023;1;34;399;1.4;1.8
980;muutos;2024;1;34;392;1.5;1.8
980;muutos;2025;1;34;385;1.5;1.8
980;muutos;2026;1;34;377;1.5;1.8
980;muutos;2027;1;35;368;1.6;1.8
980;muutos;2028;1;35;371;1.6;1.8
980;muutos;2029;1;35;373;1.7;1.8
980;muutos;2030;1;35;376;1.7;1.8
980;muutos;2031;1;36;379;1.8;1.8
980;muutos;2032;1;36;381;1.8;1.8
980;muutos;2033;1;36;384;1.9;1.8
980;muutos;2034;1;37;387;1.9;1.8
980;muutos;2035;1;37;390;2;1.8
980;muutos;2036;1;37;393;2;1.8
980;muutos;2037;1;37;396;2;1.8
980;muutos;2038;1;38;398;2;1.8
980;muutos;2039;1;38;401;2.1;1.8
980;muutos;2040;1;38;404;2.1;1.8
980;muutos;2041;1;39;408;2.1;1.8
980;muutos;2042;1;39;411;2.1;1.8
980;muutos;2043;1;39;414;2.2;1.8
980;muutos;2044;1;40;417;2.2;1.8
980;muutos;2045;1;40;420;2.2;1.8
980;muutos;2046;1;40;423;2.2;1.8
980;muutos;2047;1;41;427;2.3;1.8
980;muutos;2048;1;41;430;2.3;1.8
980;muutos;2049;1;41;434;2.3;1.8
980;muutos;2050;1;42;437;2.3;1.8
980;saasto;2017;1;33;408;1.3;1.8
980;saasto;2018;1;33;408;1.3;1.8
980;saasto;2019;1;33;408;1.3;1.8
980;saasto;2020;1;33;408;1.3;1.8
980;saasto;2021;1;33;395;1.3;1.8
980;saasto;2022;1;33;389;1.3;1.8
980;saasto;2023;1;33;383;1.3;1.8
980;saasto;2024;1;33;377;1.3;1.8
980;saasto;2025;1;33;371;1.3;1.8
980;saasto;2026;1;33;365;1.3;1.8
980;saasto;2027;1;33;359;1.3;1.8
980;saasto;2028;1;33;361;1.3;1.8
980;saasto;2029;1;33;362;1.3;1.8
980;saasto;2030;1;33;364;1.3;1.8
980;saasto;2031;1;33;366;1.3;1.8
980;saasto;2032;1;33;367;1.3;1.8
980;saasto;2033;1;33;369;1.3;1.8
980;saasto;2034;1;33;371;1.3;1.8
980;saasto;2035;1;33;373;1.3;1.8
980;saasto;2036;1;33;374;1.3;1.8
980;saasto;2037;1;33;376;1.3;1.8
980;saasto;2038;1;33;378;1.3;1.8
980;saasto;2039;1;33;380;1.3;1.8
980;saasto;2040;1;33;381;1.3;1.8
980;saasto;2041;1;33;383;1.3;1.8
980;saasto;2042;1;33;385;1.3;1.8
980;saasto;2043;1;33;387;1.3;1.8
980;saasto;2044;1;33;389;1.3;1.8
980;saasto;2045;1;33;391;1.3;1.8
980;saasto;2046;1;33;393;1.3;1.8
980;saasto;2047;1;33;395;1.3;1.8
980;saasto;2048;1;33;397;1.3;1.8
980;saasto;2049;1;33;399;1.3;1.8
980;saasto;2050;1;33;401;1.3;1.8
980;pysahdys;2017;1;33;408;1.3;1.8
980;pysahdys;2018;1;33;408;1.3;1.8
980;pysahdys;2019;1;33;408;1.3;1.8
980;pysahdys;2020;1;33;408;1.3;1.8
980;pysahdys;2021;1;33;393;1.3;1.8
980;pysahdys;2022;1;33;386;1.3;1.8
980;pysahdys;2023;1;33;378;1.3;1.8
980;pysahdys;2024;1;33;371;1.3;1.8
980;pysahdys;2025;1;33;363;1.3;1.8
980;pysahdys;2026;1;33;356;1.3;1.8
980;pysahdys;2027;1;33;348;1.3;1.8
980;pysahdys;2028;1;33;348;1.3;1.8
980;pysahdys;2029;1;33;348;1.3;1.8
980;pysahdys;2030;1;33;348;1.3;1.8
980;pysahdys;2031;1;33;348;1.3;1.8
980;pysahdys;2032;1;33;348;1.3;1.8
980;pysahdys;2033;1;33;348;1.3;1.8
980;pysahdys;2034;1;33;348;1.3;1.8
980;pysahdys;2035;1;33;348;1.3;1.8
980;pysahdys;2036;1;33;348;1.3;1.8
980;pysahdys;2037;1;33;348;1.3;1.8
980;pysahdys;2038;1;33;348;1.3;1.8
980;pysahdys;2039;1;33;348;1.3;1.8
980;pysahdys;2040;1;33;348;1.3;1.8
980;pysahdys;2041;1;33;348;1.3;1.8
980;pysahdys;2042;1;33;348;1.3;1.8
980;pysahdys;2043;1;33;348;1.3;1.8
980;pysahdys;2044;1;33;348;1.3;1.8
980;pysahdys;2045;1;33;348;1.3;1.8
980;pysahdys;2046;1;33;348;1.3;1.8
980;pysahdys;2047;1;33;348;1.3;1.8
980;pysahdys;2048;1;33;348;1.3;1.8
980;pysahdys;2049;1;33;348;1.3;1.8
980;pysahdys;2050;1;33;348;1.3;1.8
922;wem;2017;1;33;408;1.3;1.8
922;wem;2018;1;33;408;1.3;1.8
922;wem;2019;1;33;408;1.3;1.8
922;wem;2020;1;33;408;1.3;1.8
922;wem;2021;1;33;393;1.3;1.8
922;wem;2022;1;33;386;1.3;1.8
922;wem;2023;1;33;378;1.3;1.8
922;wem;2024;1;33;371;1.3;1.8
922;wem;2025;1;33;363;1.3;1.8
922;wem;2026;1;33;356;1.3;1.8
922;wem;2027;1;33;348;1.3;1.8
922;wem;2028;1;33;348;1.3;1.8
922;wem;2029;1;33;348;1.3;1.8
922;wem;2030;1;33;348;1.3;1.8
922;wem;2031;1;33;348;1.3;1.8
922;wem;2032;1;33;348;1.3;1.8
922;wem;2033;1;33;348;1.3;1.8
922;wem;2034;1;33;348;1.3;1.8
922;wem;2035;1;33;348;1.3;1.8
922;wem;2036;1;33;348;1.3;1.8
922;wem;2037;1;33;348;1.3;1.8
922;wem;2038;1;33;348;1.3;1.8
922;wem;2039;1;33;348;1.3;1.8
922;wem;2040;1;33;348;1.3;1.8
922;wem;2041;1;33;348;1.3;1.8
922;wem;2042;1;33;348;1.3;1.8
922;wem;2043;1;33;348;1.3;1.8
922;wem;2044;1;33;348;1.3;1.8
922;wem;2045;1;33;348;1.3;1.8
922;wem;2046;1;33;348;1.3;1.8
922;wem;2047;1;33;348;1.3;1.8
922;wem;2048;1;33;348;1.3;1.8
922;wem;2049;1;33;348;1.3;1.8
922;wem;2050;1;33;348;1.3;1.8
922;eu80;2017;1;33;408;1.3;1.8
922;eu80;2018;1;33;408;1.3;1.8
922;eu80;2019;1;33;408;1.3;1.8
922;eu80;2020;1;33;408;1.3;1.8
922;eu80;2021;1;33;393;1.3;1.8
922;eu80;2022;1;33;386;1.3;1.8
922;eu80;2023;1;33;378;1.3;1.8
922;eu80;2024;1;33;371;1.3;1.8
922;eu80;2025;1;33;363;1.3;1.8
922;eu80;2026;1;33;356;1.3;1.8
922;eu80;2027;1;33;348;1.3;1.8
922;eu80;2028;1;33;348;1.3;1.8
922;eu80;2029;1;33;348;1.3;1.8
922;eu80;2030;1;33;348;1.3;1.8
922;eu80;2031;1;33;348;1.3;1.8
922;eu80;2032;1;33;348;1.3;1.8
922;eu80;2033;1;33;348;1.3;1.8
922;eu80;2034;1;33;348;1.3;1.8
922;eu80;2035;1;33;348;1.3;1.8
922;eu80;2036;1;33;348;1.3;1.8
922;eu80;2037;1;33;348;1.3;1.8
922;eu80;2038;1;33;348;1.3;1.8
922;eu80;2039;1;33;348;1.3;1.8
922;eu80;2040;1;33;348;1.3;1.8
922;eu80;2041;1;33;348;1.3;1.8
922;eu80;2042;1;33;348;1.3;1.8
922;eu80;2043;1;33;348;1.3;1.8
922;eu80;2044;1;33;348;1.3;1.8
922;eu80;2045;1;33;348;1.3;1.8
922;eu80;2046;1;33;348;1.3;1.8
922;eu80;2047;1;33;348;1.3;1.8
922;eu80;2048;1;33;348;1.3;1.8
922;eu80;2049;1;33;348;1.3;1.8
922;eu80;2050;1;33;348;1.3;1.8
922;kasvu;2017;1;33;408;1.3;1.8
922;kasvu;2018;1;33;408;1.3;1.8
922;kasvu;2019;1;33;408;1.3;1.8
922;kasvu;2020;1;33;408;1.3;1.8
922;kasvu;2021;1;33;393;1.3;1.8
922;kasvu;2022;1;33;386;1.3;1.8
922;kasvu;2023;1;33;378;1.3;1.8
922;kasvu;2024;1;33;371;1.3;1.8
922;kasvu;2025;1;33;363;1.3;1.8
922;kasvu;2026;1;33;356;1.3;1.8
922;kasvu;2027;1;33;348;1.3;1.8
922;kasvu;2028;1;33;348;1.3;1.8
922;kasvu;2029;1;33;348;1.3;1.8
922;kasvu;2030;1;33;348;1.3;1.8
