scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wem;9999;erpien;1
wem;9999;rivita;5
wem;9999;askert;5
wem;9999;liike;15
wem;9999;tsto;10
wem;9999;liiken;15
wem;9999;hoito;30
wem;9999;kokoon;15
wem;9999;opetus;10
wem;9999;teoll;0
wem;9999;varast;0
wem;9999;muut;15
wem;1920;erpien;1
wem;1920;rivita;5
wem;1920;askert;5
wem;1920;liike;15
wem;1920;tsto;10
wem;1920;liiken;15
wem;1920;hoito;30
wem;1920;kokoon;15
wem;1920;opetus;10
wem;1920;teoll;0
wem;1920;varast;0
wem;1920;muut;15
wem;1929;erpien;1
wem;1929;rivita;6
wem;1929;askert;6
wem;1929;liike;15
wem;1929;tsto;10
wem;1929;liiken;15
wem;1929;hoito;30
wem;1929;kokoon;15
wem;1929;opetus;10
wem;1929;teoll;0
wem;1929;varast;0
wem;1929;muut;15
wem;1939;erpien;2
wem;1939;rivita;7
wem;1939;askert;7
wem;1939;liike;17
wem;1939;tsto;12
wem;1939;liiken;17
wem;1939;hoito;32
wem;1939;kokoon;17
wem;1939;opetus;12
wem;1939;teoll;0
wem;1939;varast;0
wem;1939;muut;17
wem;1949;erpien;2
wem;1949;rivita;10
wem;1949;askert;9
wem;1949;liike;19
wem;1949;tsto;14
wem;1949;liiken;19
wem;1949;hoito;34
wem;1949;kokoon;19
wem;1949;opetus;14
wem;1949;teoll;0
wem;1949;varast;0
wem;1949;muut;19
wem;1959;erpien;3
wem;1959;rivita;12
wem;1959;askert;12
wem;1959;liike;20
wem;1959;tsto;15
wem;1959;liiken;20
wem;1959;hoito;35
wem;1959;kokoon;20
wem;1959;opetus;15
wem;1959;teoll;0
wem;1959;varast;0
wem;1959;muut;20
wem;1969;erpien;7
wem;1969;rivita;14
wem;1969;askert;16
wem;1969;liike;25
wem;1969;tsto;20
wem;1969;liiken;25
wem;1969;hoito;40
wem;1969;kokoon;25
wem;1969;opetus;20
wem;1969;teoll;0
wem;1969;varast;0
wem;1969;muut;25
wem;1979;erpien;10
wem;1979;rivita;18
wem;1979;askert;20
wem;1979;liike;30
wem;1979;tsto;25
wem;1979;liiken;30
wem;1979;hoito;45
wem;1979;kokoon;30
wem;1979;opetus;25
wem;1979;teoll;0
wem;1979;varast;0
wem;1979;muut;30
wem;1989;erpien;15
wem;1989;rivita;16
wem;1989;askert;19
wem;1989;liike;27
wem;1989;tsto;22
wem;1989;liiken;27
wem;1989;hoito;42
wem;1989;kokoon;27
wem;1989;opetus;22
wem;1989;teoll;0
wem;1989;varast;0
wem;1989;muut;27
wem;1999;erpien;18
wem;1999;rivita;14
wem;1999;askert;19
wem;1999;liike;25
wem;1999;tsto;20
wem;1999;liiken;25
wem;1999;hoito;40
wem;1999;kokoon;25
wem;1999;opetus;20
wem;1999;teoll;0
wem;1999;varast;0
wem;1999;muut;25
wem;2009;erpien;20
wem;2009;rivita;14
wem;2009;askert;23
wem;2009;liike;25
wem;2009;tsto;20
wem;2009;liiken;25
wem;2009;hoito;40
wem;2009;kokoon;25
wem;2009;opetus;20
wem;2009;teoll;0
wem;2009;varast;0
wem;2009;muut;25
wem;2010;erpien;17
wem;2010;rivita;22
wem;2010;askert;24
wem;2010;liike;26
wem;2010;tsto;21
wem;2010;liiken;26
wem;2010;hoito;41
wem;2010;kokoon;26
wem;2010;opetus;21
wem;2010;teoll;0
wem;2010;varast;0
wem;2010;muut;26
wem;2018;erpien;10
wem;2018;rivita;20
wem;2018;askert;22
wem;2018;liike;25
wem;2018;tsto;20
wem;2018;liiken;25
wem;2018;hoito;35
wem;2018;kokoon;25
wem;2018;opetus;20
wem;2018;teoll;0
wem;2018;varast;0
wem;2018;muut;25
wem;2019;erpien;10
wem;2019;rivita;20
wem;2019;askert;22
wem;2019;liike;25
wem;2019;tsto;20
wem;2019;liiken;25
wem;2019;hoito;35
wem;2019;kokoon;25
wem;2019;opetus;20
wem;2019;teoll;0
wem;2019;varast;0
wem;2019;muut;25
wem;2020;erpien;10
wem;2020;rivita;20
wem;2020;askert;22
wem;2020;liike;25
wem;2020;tsto;20
wem;2020;liiken;25
wem;2020;hoito;35
wem;2020;kokoon;25
wem;2020;opetus;20
wem;2020;teoll;0
wem;2020;varast;0
wem;2020;muut;25
wem;2021;erpien;10
wem;2021;rivita;20
wem;2021;askert;22
wem;2021;liike;25
wem;2021;tsto;20
wem;2021;liiken;25
wem;2021;hoito;35
wem;2021;kokoon;25
wem;2021;opetus;20
wem;2021;teoll;0
wem;2021;varast;0
wem;2021;muut;25
wem;2022;erpien;10
wem;2022;rivita;20
wem;2022;askert;22
wem;2022;liike;25
wem;2022;tsto;20
wem;2022;liiken;25
wem;2022;hoito;35
wem;2022;kokoon;25
wem;2022;opetus;20
wem;2022;teoll;0
wem;2022;varast;0
wem;2022;muut;25
wem;2023;erpien;10
wem;2023;rivita;20
wem;2023;askert;22
wem;2023;liike;25
wem;2023;tsto;20
wem;2023;liiken;25
wem;2023;hoito;35
wem;2023;kokoon;25
wem;2023;opetus;20
wem;2023;teoll;0
wem;2023;varast;0
wem;2023;muut;25
wem;2024;erpien;10
wem;2024;rivita;20
wem;2024;askert;22
wem;2024;liike;25
wem;2024;tsto;20
wem;2024;liiken;25
wem;2024;hoito;35
wem;2024;kokoon;25
wem;2024;opetus;20
wem;2024;teoll;0
wem;2024;varast;0
wem;2024;muut;25
wem;2025;erpien;10
wem;2025;rivita;20
wem;2025;askert;22
wem;2025;liike;25
wem;2025;tsto;20
wem;2025;liiken;25
wem;2025;hoito;35
wem;2025;kokoon;25
wem;2025;opetus;20
wem;2025;teoll;0
wem;2025;varast;0
wem;2025;muut;25
wem;2026;erpien;10
wem;2026;rivita;20
wem;2026;askert;22
wem;2026;liike;25
wem;2026;tsto;20
wem;2026;liiken;25
wem;2026;hoito;35
wem;2026;kokoon;25
wem;2026;opetus;20
wem;2026;teoll;0
wem;2026;varast;0
wem;2026;muut;25
wem;2027;erpien;10
wem;2027;rivita;20
wem;2027;askert;22
wem;2027;liike;25
wem;2027;tsto;20
wem;2027;liiken;25
wem;2027;hoito;35
wem;2027;kokoon;25
wem;2027;opetus;20
wem;2027;teoll;0
wem;2027;varast;0
wem;2027;muut;25
wem;2028;erpien;10
wem;2028;rivita;20
wem;2028;askert;22
wem;2028;liike;25
wem;2028;tsto;20
wem;2028;liiken;25
wem;2028;hoito;35
wem;2028;kokoon;25
wem;2028;opetus;20
wem;2028;teoll;0
wem;2028;varast;0
wem;2028;muut;25
wem;2029;erpien;10
wem;2029;rivita;20
wem;2029;askert;22
wem;2029;liike;25
wem;2029;tsto;20
wem;2029;liiken;25
wem;2029;hoito;35
wem;2029;kokoon;25
wem;2029;opetus;20
wem;2029;teoll;0
wem;2029;varast;0
wem;2029;muut;25
wem;2030;erpien;10
wem;2030;rivita;20
wem;2030;askert;22
wem;2030;liike;25
wem;2030;tsto;20
wem;2030;liiken;25
wem;2030;hoito;35
wem;2030;kokoon;25
wem;2030;opetus;20
wem;2030;teoll;0
wem;2030;varast;0
wem;2030;muut;25
wem;2031;erpien;10
wem;2031;rivita;20
wem;2031;askert;22
wem;2031;liike;25
wem;2031;tsto;20
wem;2031;liiken;25
wem;2031;hoito;35
wem;2031;kokoon;25
wem;2031;opetus;20
wem;2031;teoll;0
wem;2031;varast;0
wem;2031;muut;25
wem;2032;erpien;10
wem;2032;rivita;20
wem;2032;askert;22
wem;2032;liike;25
wem;2032;tsto;20
wem;2032;liiken;25
wem;2032;hoito;35
wem;2032;kokoon;25
