mun;year;erpien;rivita;askert
837;2017;38;35.4;35.1
837;2018;38.029005;35.4177;35.11755
837;2019;38.0480195;35.43540885;35.13510878
837;2020;38.06704351;35.45312655;35.15267633
837;2021;38.08607703;35.47085312;35.17025267
837;2022;38.10512007;35.48858854;35.18783779
837;2023;38.12417263;35.50633284;35.20543171
837;2024;38.14323472;35.524086;35.22303443
837;2025;38.16230634;35.54184805;35.24064595
837;2026;38.18138749;35.55961897;35.25826627
837;2027;38.20047818;35.57739878;35.2758954
837;2028;38.21957842;35.59518748;35.29353335
837;2029;38.23868821;35.61298507;35.31118012
837;2030;38.25780756;35.63079157;35.32883571
837;2031;38.27693646;35.64860696;35.34650012
837;2032;38.29607493;35.66643127;35.36417337
837;2033;38.31522297;35.68426448;35.38185546
837;2034;38.33438058;35.70210661;35.39954639
837;2035;38.35354777;35.71995767;35.41724616
837;2036;38.37272454;35.73781765;35.43495479
837;2037;38.3919109;35.75568656;35.45267226
837;2038;38.41110686;35.7735644;35.4703986
837;2039;38.43031241;35.79145118;35.4881338
837;2040;38.44952757;35.80934691;35.50587786
837;2041;38.46875233;35.82725158;35.5236308
837;2042;38.48798671;35.84516521;35.54139262
837;2043;38.5072307;35.86308779;35.55916332
837;2044;38.52648432;35.88101933;35.5769429
837;2045;38.54574756;35.89895984;35.59473137
837;2046;38.56502043;35.91690932;35.61252873
837;2047;38.58430294;35.93486778;35.630335
837;2048;38.60359509;35.95283521;35.64815017
837;2049;38.62289689;35.97081163;35.66597424
837;2050;38.64220834;35.98879703;35.68380723
980;2017;41.04;38.232;37.908
980;2018;41.0713254;38.251116;37.926954
980;2019;41.09186106;38.270241558;37.9459174824
980;2020;41.1124069908;38.289376674;37.9648904364
980;2021;41.1329631924;38.3085213696;37.9838728836
980;2022;41.1535296756;38.3276756232;38.0028648132
980;2023;41.1741064404;38.3468394672;38.0218662468
980;2024;41.1946934976;38.36601288;38.0408771844
980;2025;41.2152908472;38.385195894;38.059897626
980;2026;41.2358984892;38.4043884876;38.0789275716
980;2027;41.2565164344;38.4235906824;38.097967032
980;2028;41.2771446936;38.4428024784;38.117016018
