mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
980;wem;2018;9999;130;120;105;160;135;85;220;125;145;110;125;85
980;wem;2018;1920;140;125;95;230;200;125;235;160;235;275;180;125
980;wem;2018;1929;145;135;95;229;200;130;239;160;234;259;170;130
980;wem;2018;1939;155;150;105;229;200;135;244;160;234;219;170;135
980;wem;2018;1949;158;163;109;228;203;139;248;158;238;168;158;139
980;wem;2018;1959;158;173;114;233;203;144;252;158;238;149;158;144
980;wem;2018;1969;163;158;118;192;143;113;207;133;182;138;167;113
980;wem;2018;1979;139;149;109;163;119;94;173;114;153;109;129;94
980;wem;2018;1989;120;120;95;155;115;90;165;105;145;105;120;90
980;wem;2018;1999;115;125;105;140;105;80;145;90;130;95;105;80
980;wem;2018;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2018;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2018;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2019;9999;130;120;105;160;135;85;220;125;145;110;125;85
980;wem;2019;1920;140;125;95;230;200;125;235;160;235;275;180;125
980;wem;2019;1929;144;134;95;229;199;129;239;159;234;259;169;129
980;wem;2019;1939;154;149;104;229;199;134;244;159;234;219;169;134
980;wem;2019;1949;157;162;108;225;201;137;245;157;235;167;157;137
980;wem;2019;1959;157;172;113;230;201;142;250;157;235;147;157;142
980;wem;2019;1969;160;155;116;189;141;112;204;131;179;136;165;112
980;wem;2019;1979;137;147;108;162;118;93;172;113;152;108;127;93
980;wem;2019;1989;119;119;95;154;114;90;164;104;144;104;119;90
980;wem;2019;1999;115;125;105;140;105;80;145;90;130;95;105;80
980;wem;2019;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2019;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2019;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2019;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2020;9999;130;120;105;160;135;85;219;125;145;110;125;85
980;wem;2020;1920;140;125;95;229;200;125;234;160;234;274;180;125
980;wem;2020;1929;144;134;94;228;199;129;238;159;233;258;169;129
980;wem;2020;1939;154;149;104;228;199;134;243;159;233;218;169;134
980;wem;2020;1949;155;160;107;223;199;136;243;155;233;165;155;136
980;wem;2020;1959;155;170;112;228;199;141;247;155;233;146;155;141
980;wem;2020;1969;158;153;115;186;139;110;201;129;177;134;162;110
980;wem;2020;1979;136;146;107;160;116;92;170;112;150;107;126;92
980;wem;2020;1989;119;119;94;154;114;89;164;104;144;104;119;89
