scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wem;9999;erpien;29
wem;9999;rivita;31
wem;9999;askert;30
wem;9999;liike;34
wem;9999;tsto;5
wem;9999;liiken;4
wem;9999;hoito;27
wem;9999;kokoon;6
wem;9999;opetus;9
wem;9999;teoll;0
wem;9999;varast;4
wem;9999;muut;8
wem;1920;erpien;29
wem;1920;rivita;35
wem;1920;askert;35
wem;1920;liike;35
wem;1920;tsto;5
wem;1920;liiken;4
wem;1920;hoito;27
wem;1920;kokoon;6
wem;1920;opetus;10
wem;1920;teoll;0
wem;1920;varast;4
wem;1920;muut;8
wem;1929;erpien;29
wem;1929;rivita;35
wem;1929;askert;35
wem;1929;liike;35
wem;1929;tsto;5
wem;1929;liiken;4
wem;1929;hoito;27
wem;1929;kokoon;6
wem;1929;opetus;10
wem;1929;teoll;0
wem;1929;varast;4
wem;1929;muut;8
wem;1939;erpien;29
wem;1939;rivita;35
wem;1939;askert;35
wem;1939;liike;35
wem;1939;tsto;5
wem;1939;liiken;5
wem;1939;hoito;27
wem;1939;kokoon;6
wem;1939;opetus;10
wem;1939;teoll;0
wem;1939;varast;4
wem;1939;muut;8
wem;1949;erpien;29
wem;1949;rivita;34
wem;1949;askert;35
wem;1949;liike;35
wem;1949;tsto;5
wem;1949;liiken;0
wem;1949;hoito;27
wem;1949;kokoon;6
wem;1949;opetus;10
wem;1949;teoll;0
wem;1949;varast;4
wem;1949;muut;8
wem;1959;erpien;29
wem;1959;rivita;34
wem;1959;askert;34
wem;1959;liike;35
wem;1959;tsto;5
wem;1959;liiken;4
wem;1959;hoito;27
wem;1959;kokoon;6
wem;1959;opetus;10
wem;1959;teoll;0
wem;1959;varast;4
wem;1959;muut;8
wem;1969;erpien;29
wem;1969;rivita;33
wem;1969;askert;33
wem;1969;liike;35
wem;1969;tsto;5
wem;1969;liiken;5
wem;1969;hoito;27
wem;1969;kokoon;6
wem;1969;opetus;10
wem;1969;teoll;0
wem;1969;varast;4
wem;1969;muut;8
wem;1979;erpien;29
wem;1979;rivita;31
wem;1979;askert;31
wem;1979;liike;34
wem;1979;tsto;5
wem;1979;liiken;5
wem;1979;hoito;27
wem;1979;kokoon;6
wem;1979;opetus;9
wem;1979;teoll;0
wem;1979;varast;4
wem;1979;muut;8
wem;1989;erpien;28
wem;1989;rivita;30
wem;1989;askert;29
wem;1989;liike;34
wem;1989;tsto;5
wem;1989;liiken;4
wem;1989;hoito;27
wem;1989;kokoon;6
wem;1989;opetus;9
wem;1989;teoll;0
wem;1989;varast;4
wem;1989;muut;8
wem;1999;erpien;31
wem;1999;rivita;32
wem;1999;askert;30
wem;1999;liike;34
wem;1999;tsto;5
wem;1999;liiken;3
wem;1999;hoito;27
wem;1999;kokoon;6
wem;1999;opetus;9
wem;1999;teoll;0
wem;1999;varast;4
wem;1999;muut;8
wem;2009;erpien;29
wem;2009;rivita;30
wem;2009;askert;28
wem;2009;liike;33
wem;2009;tsto;5
wem;2009;liiken;4
wem;2009;hoito;26
wem;2009;kokoon;6
wem;2009;opetus;9
wem;2009;teoll;0
wem;2009;varast;4
wem;2009;muut;8
wem;2010;erpien;27
wem;2010;rivita;29
wem;2010;askert;26
wem;2010;liike;33
wem;2010;tsto;3
wem;2010;liiken;2
wem;2010;hoito;26
wem;2010;kokoon;6
wem;2010;opetus;8
wem;2010;teoll;0
wem;2010;varast;4
wem;2010;muut;8
wem;2018;erpien;27
wem;2018;rivita;29
wem;2018;askert;26
wem;2018;liike;33
wem;2018;tsto;3
wem;2018;liiken;2
wem;2018;hoito;26
wem;2018;kokoon;6
wem;2018;opetus;8
wem;2018;teoll;8
wem;2018;varast;4
wem;2018;muut;8
wem;2019;erpien;27
wem;2019;rivita;29
wem;2019;askert;26
wem;2019;liike;33
wem;2019;tsto;3
wem;2019;liiken;2
wem;2019;hoito;26
wem;2019;kokoon;6
wem;2019;opetus;8
wem;2019;teoll;8
wem;2019;varast;4
wem;2019;muut;8
wem;2020;erpien;27
wem;2020;rivita;29
wem;2020;askert;26
wem;2020;liike;33
wem;2020;tsto;3
wem;2020;liiken;2
wem;2020;hoito;26
wem;2020;kokoon;6
wem;2020;opetus;8
wem;2020;teoll;8
wem;2020;varast;4
wem;2020;muut;8
wem;2021;erpien;27
wem;2021;rivita;29
wem;2021;askert;26
wem;2021;liike;33
wem;2021;tsto;3
wem;2021;liiken;2
wem;2021;hoito;26
wem;2021;kokoon;6
wem;2021;opetus;8
wem;2021;teoll;8
wem;2021;varast;4
wem;2021;muut;8
wem;2022;erpien;27
wem;2022;rivita;29
wem;2022;askert;26
wem;2022;liike;33
wem;2022;tsto;3
wem;2022;liiken;2
wem;2022;hoito;26
wem;2022;kokoon;6
wem;2022;opetus;8
wem;2022;teoll;8
wem;2022;varast;4
wem;2022;muut;8
wem;2023;erpien;27
wem;2023;rivita;29
wem;2023;askert;26
wem;2023;liike;33
wem;2023;tsto;3
wem;2023;liiken;2
wem;2023;hoito;26
wem;2023;kokoon;6
wem;2023;opetus;8
wem;2023;teoll;8
wem;2023;varast;4
wem;2023;muut;8
wem;2024;erpien;27
wem;2024;rivita;29
wem;2024;askert;26
wem;2024;liike;33
wem;2024;tsto;3
