mun;scenario;year;em;hjm
211;wem;2018;201;201
211;wem;2019;202;202
211;wem;2020;151;151
211;wem;2021;145;145
211;wem;2022;132;132
211;wem;2023;119;119
211;wem;2024;106;106
211;wem;2025;93;93
211;wem;2026;79;79
211;wem;2027;65;65
211;wem;2028;51;51
211;wem;2029;37;37
211;wem;2030;23;23
211;wem;2031;21;21
211;wem;2032;19;19
211;wem;2033;16;16
211;wem;2034;14;14
211;wem;2035;12;12
211;wem;2036;10;10
211;wem;2037;8;8
211;wem;2038;6;6
211;wem;2039;4;4
211;wem;2040;2;2
211;wem;2041;2;2
211;wem;2042;2;2
211;wem;2043;2;2
211;wem;2044;2;2
211;wem;2045;2;2
211;wem;2046;2;2
211;wem;2047;2;2
211;wem;2048;2;2
211;wem;2049;2;2
211;wem;2050;2;2
211;eu80;2018;201;201
211;eu80;2019;202;202
211;eu80;2020;151;151
211;eu80;2021;140;140
211;eu80;2022;122;122
211;eu80;2023;105;105
211;eu80;2024;87;87
211;eu80;2025;70;70
211;eu80;2026;63;63
211;eu80;2027;56;56
211;eu80;2028;49;49
211;eu80;2029;42;42
211;eu80;2030;35;35
211;eu80;2031;28;28
211;eu80;2032;22;22
211;eu80;2033;15;15
211;eu80;2034;9;9
211;eu80;2035;2;2
211;eu80;2036;2;2
211;eu80;2037;2;2
211;eu80;2038;2;2
211;eu80;2039;2;2
211;eu80;2040;2;2
211;eu80;2041;2;2
211;eu80;2042;2;2
211;eu80;2043;2;2
211;eu80;2044;2;2
211;eu80;2045;2;2
211;eu80;2046;2;2
211;eu80;2047;2;2
211;eu80;2048;2;2
211;eu80;2049;2;2
211;eu80;2050;2;2
211;kasvu;2018;201;201
211;kasvu;2019;202;202
211;kasvu;2020;151;151
211;kasvu;2021;141;141
211;kasvu;2022;127;127
211;kasvu;2023;112;112
211;kasvu;2024;97;97
211;kasvu;2025;82;82
211;kasvu;2026;70;70
211;kasvu;2027;58;58
211;kasvu;2028;47;47
211;kasvu;2029;35;35
211;kasvu;2030;23;23
211;kasvu;2031;21;21
211;kasvu;2032;19;19
211;kasvu;2033;16;16
211;kasvu;2034;14;14
211;kasvu;2035;12;12
211;kasvu;2036;10;10
211;kasvu;2037;8;8
211;kasvu;2038;6;6
211;kasvu;2039;4;4
211;kasvu;2040;2;2
211;kasvu;2041;2;2
211;kasvu;2042;2;2
211;kasvu;2043;2;2
211;kasvu;2044;2;2
211;kasvu;2045;2;2
211;kasvu;2046;2;2
211;kasvu;2047;2;2
211;kasvu;2048;2;2
211;kasvu;2049;2;2
211;kasvu;2050;2;2
211;muutos;2018;201;201
211;muutos;2019;202;202
211;muutos;2020;151;151
211;muutos;2021;133;133
211;muutos;2022;108;108
211;muutos;2023;84;84
211;muutos;2024;59;59
211;muutos;2025;35;35
211;muutos;2026;30;30
211;muutos;2027;26;26
211;muutos;2028;21;21
211;muutos;2029;16;16
211;muutos;2030;12;12
211;muutos;2031;12;12
211;muutos;2032;12;12
211;muutos;2033;12;12
211;muutos;2034;12;12
211;muutos;2035;12;12
211;muutos;2036;10;10
211;muutos;2037;8;8
211;muutos;2038;6;6
211;muutos;2039;4;4
211;muutos;2040;2;2
211;muutos;2041;2;2
211;muutos;2042;2;2
211;muutos;2043;2;2
211;muutos;2044;2;2
211;muutos;2045;2;2
211;muutos;2046;2;2
211;muutos;2047;2;2
211;muutos;2048;2;2
211;muutos;2049;2;2
211;muutos;2050;2;2
211;saasto;2018;201;201
211;saasto;2019;202;202
211;saasto;2020;151;151
211;saasto;2021;139;139
211;saasto;2022;122;122
211;saasto;2023;105;105
211;saasto;2024;87;87
211;saasto;2025;70;70
211;saasto;2026;61;61
211;saasto;2027;51;51
211;saasto;2028;42;42
211;saasto;2029;33;33
211;saasto;2030;23;23
211;saasto;2031;21;21
211;saasto;2032;19;19
211;saasto;2033;16;16
211;saasto;2034;14;14
211;saasto;2035;12;12
211;saasto;2036;10;10
211;saasto;2037;8;8
211;saasto;2038;6;6
211;saasto;2039;4;4
211;saasto;2040;2;2
211;saasto;2041;2;2
211;saasto;2042;2;2
211;saasto;2043;2;2
211;saasto;2044;2;2
211;saasto;2045;2;2
211;saasto;2046;2;2
211;saasto;2047;2;2
211;saasto;2048;2;2
211;saasto;2049;2;2
211;saasto;2050;2;2
211;pysahdys;2018;201;201
211;pysahdys;2019;202;202
211;pysahdys;2020;151;151
211;pysahdys;2021;140;140
211;pysahdys;2022;122;122
