vuosi;kunta;tp_yht;xyind
2017;005;1;3481256959875
2017;005;3;3496256960375
2017;005;1;3471256962125
2017;005;11;3466256964125
2017;005;7;3431256964375
2017;005;1;3431256964625
2017;005;1;3476256964625
2017;005;2;3491256964625
2017;005;1;3416256965125
2017;005;1;3421256965125
2017;005;8;3476256965125
2017;005;2;3398756965375
2017;005;1;3421256965375
2017;005;1;3471256965375
2017;005;28;3481256965375
2017;005;2;3503756965375
2017;005;1;3503756965625
2017;005;2;3436256965875
2017;005;1;3471256965875
2017;005;1;3503756965875
2017;005;1;3506256966125
2017;005;2;3433756966625
2017;005;1;3436256966625
2017;005;1;3483756966625
2017;005;1;3413756966875
2017;005;1;3458756966875
2017;005;2;3371256967125
2017;005;8;3436256967375
2017;005;4;3468756967375
2017;005;6;3438756968125
2017;005;3;3348756968375
2017;005;1;3441256968375
2017;005;1;3451256968625
2017;005;3;3468756968625
2017;005;2;3438756968875
2017;005;5;3441256968875
2017;005;28;3443756968875
2017;005;4;3471256968875
2017;005;1;3488756968875
2017;005;3;3351256969125
2017;005;9;3438756969125
2017;005;2;3441256969125
2017;005;102;3443756969125
2017;005;2;3446256969125
2017;005;1;3448756969125
2017;005;1;3351256969375
2017;005;6;3441256969375
2017;005;88;3443756969375
2017;005;1;3446256969375
2017;005;2;3501256969375
2017;005;4;3426256969625
2017;005;1;3446256969625
2017;005;1;3426256969875
2017;005;2;3443756969875
2017;005;2;3446256969875
2017;005;1;3473756969875
2017;005;5;3448756970125
2017;005;2;3451256970375
2017;005;1;3458756970375
2017;005;1;3443756970625
2017;005;7;3318756970875
2017;005;1;3451256970875
2017;005;1;3451256971125
2017;005;1;3328756971375
2017;005;2;3458756971375
2017;005;1;3356256971625
2017;837;22;3263756822875
2017;837;153;3266256822875
2017;837;163;3268756822875
2017;837;396;3271256822875
2017;837;724;3273756822875
2017;837;2419;3276256822875
2017;837;386;3278756822875
2017;837;149;3281256822875
2017;837;59;3283756822875
2017;837;151;3286256822875
2017;837;132;3288756822875
2017;837;74;3291256822875
2017;837;35;3293756822875
2017;837;64;3296256822875
2017;837;795;3298756822875
2017;837;39;3301256822875
2017;837;2;3303756822875
2017;837;90;3306256822875
2017;837;71;3308756822875
2017;837;3;3311256822875
2017;837;7;3313756822875
2017;837;59;3316256822875
2017;837;6;3318756822875
2017;837;102;3321256822875
2017;837;31;3328756822875
2017;837;2;3331256822875
2017;837;3;3341256822875
2017;837;20;3348756822875
2017;837;3;3351256822875
2017;837;12;3353756822875
2017;837;3;3356256822875
2017;837;1;3358756822875
2017;837;12;3363756822875
2017;005;2;3451256971625
2017;005;1;3441256971875
2017;005;1;3336256972125
2017;005;2;3371256972375
2017;005;1;3356256972625
2017;005;1;3363756973125
2017;005;1;3331256973375
2017;005;7;3326256973875
2017;005;1;3328756973875
2017;005;1;3433756973875
2017;005;1;3421256974125
2017;005;1;3353756974625
2017;005;1;3436256975875
2017;005;1;3436256976625
2017;005;4;3438756976875
2017;005;1;3296256977125
2017;005;1;3441256977125
2017;005;2;3396256977875
2017;005;2;3448756977875
2017;005;1;3448756978125
2017;005;2;3406256978375
2017;005;2;3413756978375
2017;005;2;3466256979625
2017;005;5;3466256980125
2017;005;1;3468756980375
2017;005;3;3341256981625
2017;005;2;3348756981625
2017;005;1;3343756981875
2017;005;1;3356256982125
2017;005;7;3463756982375
2017;005;1;3236256982625
2017;005;1;3341256982625
2017;005;2;3351256982625
2017;005;1;3341256982875
2017;005;2;3228756983125
2017;005;2;3338756983375
2017;005;1;3346256983875
2017;005;1;3343756985125
2017;005;2;3261256985375
2017;005;1;3341256985375
2017;005;1;3248756985625
2017;005;1;3341256985625
2017;005;3;3353756985625
2017;005;5;3261256985875
2017;005;2;3471256985875
2017;005;2;3236256986125
2017;005;1;3511256986125
2017;005;1;3513756986125
2017;005;1;3526256986125
2017;005;1;3248756986375
2017;005;4;3253756986375
2017;005;1;3493756986375
2017;005;1;3243756986625
2017;005;1;3258756986625
2017;005;1;3448756986625
2017;005;1;3338756986875
2017;005;2;3418756986875
2017;005;2;3453756986875
2017;005;2;3508756986875
2017;005;8;3241256987125
2017;005;1;3348756987125
2017;005;1;3353756987125
2017;005;4;3411256987125
2017;005;2;3416256987125
2017;005;2;3446256987125
2017;005;5;3453756987125
2017;005;4;3483756987125
2017;005;1;3366256987375
2017;005;6;3368756987375
2017;005;4;3411256987375
2017;005;4;3501256987375
2017;005;5;3503756987375
2017;005;1;3283756987625
2017;005;3;3353756987625
2017;005;1;3358756987625
2017;005;1;3406256987625
2017;005;2;3408756987625
2017;005;7;3411256987625
2017;005;9;3413756987625
2017;005;1;3461256987625
2017;005;1;3488756987625
2017;005;1;3493756987625
2017;005;8;3498756987625
2017;005;4;3348756987875
2017;005;2;3406256987875
2017;005;10;3441256987875
2017;005;4;3461256987875
2017;005;1;3463756987875
2017;005;2;3336256988125
2017;005;4;3388756988125
2017;005;10;3403756988125
2017;005;2;3346256988375
2017;005;2;3351256988375
2017;005;2;3366256988375
2017;005;3;3371256988375
2017;005;35;3386256988375
2017;005;1;3403756988375
2017;005;4;3406256988375
2017;005;4;3408756988375
2017;837;29;3173756823125
2017;837;94;3176256823125
2017;837;9;3178756823125
2017;837;4;3181256823125
2017;837;1;3183756823125
2017;837;1;3186256823125
2017;837;1;3188756823125
2017;837;48;3191256823125
2017;837;32;3201256823125
2017;837;1;3203756823125
2017;837;6;3206256823125
2017;837;95;3208756823125
2017;837;1;3211256823125
2017;837;3;3213756823125
2017;837;5;3216256823125
2017;837;21;3221256823125
2017;837;2;3223756823125
2017;837;1;3231256823125
2017;837;4;3233756823125
2017;837;315;3236256823125
2017;837;16;3248756823125
2017;837;33;3251256823125
2017;837;16;3253756823125
2017;837;4;3256256823125
2017;837;2;3258756823125
2017;837;5;3261256823125
2017;837;24;3263756823125
2017;837;138;3266256823125
2017;837;2;3268756823125
2017;837;32;3271256823125
2017;837;299;3273756823125
2017;837;764;3276256823125
2017;837;590;3278756823125
2017;837;125;3281256823125
2017;837;240;3283756823125
2017;837;186;3286256823125
2017;837;68;3288756823125
2017;837;42;3291256823125
2017;837;38;3293756823125
2017;837;4;3296256823125
2017;837;1;3298756823125
2017;837;726;3301256823125
2017;837;5;3303756823125
2017;837;5126;3306256823125
2017;837;2;3308756823125
2017;837;213;3311256823125
2017;837;6;3313756823125
2017;837;1;3316256823125
2017;837;4;3318756823125
2017;837;1;3321256823125
2017;837;54;3358756823125
2017;837;6;3363756823125
2017;837;20;3176256823375
2017;837;61;3178756823375
2017;837;379;3181256823375
2017;837;72;3183756823375
2017;837;16;3186256823375
2017;837;105;3188756823375
2017;837;5;3193756823375
2017;837;2;3196256823375
2017;837;223;3198756823375
2017;837;2;3201256823375
2017;837;19;3203756823375
2017;837;9;3206256823375
2017;837;195;3208756823375
2017;837;68;3211256823375
2017;005;3;3443756988375
2017;005;1;3453756988375
2017;005;8;3366256988625
2017;005;4;3383756988625
2017;005;2;3386256988625
2017;005;1;3388756988625
2017;005;1;3403756988625
2017;005;1;3438756988625
2017;005;2;3468756988625
2017;005;1;3333756988875
2017;005;4;3381256988875
2017;005;6;3383756988875
2017;005;5;3386256988875
2017;005;24;3388756988875
2017;005;2;3391256988875
2017;005;2;3393756988875
2017;005;1;3396256988875
2017;005;1;3468756988875
2017;005;1;3473756988875
2017;005;3;3333756989125
2017;005;4;3336256989125
2017;005;9;3371256989125
2017;005;1;3373756989125
2017;005;35;3378756989125
2017;005;5;3388756989125
2017;005;139;3393756989125
2017;005;2;3476256989125
2017;005;1;3348756989375
2017;005;1;3353756989375
2017;005;1;3373756989375
2017;005;5;3376256989375
2017;005;11;3378756989375
2017;005;2;3383756989375
2017;837;22;3213756823375
2017;837;63;3216256823375
2017;837;4;3218756823375
2017;837;14;3221256823375
2017;837;1;3226256823375
2017;837;10;3228756823375
2017;837;52;3231256823375
2017;837;10;3236256823375
2017;837;15;3238756823375
2017;837;2;3241256823375
2017;837;7;3243756823375
2017;837;22;3246256823375
2017;837;30;3248756823375
2017;837;98;3251256823375
2017;837;13;3253756823375
2017;837;8;3263756823375
2017;837;26;3266256823375
2017;837;434;3276256823375
2017;837;173;3278756823375
2017;837;37;3281256823375
2017;837;25;3283756823375
2017;837;47;3286256823375
2017;837;136;3288756823375
2017;837;2;3291256823375
2017;837;3;3293756823375
2017;837;18;3296256823375
2017;837;120;3298756823375
2017;837;10;3301256823375
2017;837;1170;3303756823375
2017;837;260;3306256823375
2017;837;631;3308756823375
2017;837;48;3311256823375
2017;837;54;3321256823375
2017;837;4;3356256823375
2017;837;53;3358756823375
2017;837;9;3361256823375
2017;837;2;3363756823375
2017;837;3;3368756823375
2017;837;3;3371256823375
2017;837;28;3176256823625
2017;837;17;3178756823625
2017;837;41;3181256823625
2017;837;50;3186256823625
2017;837;41;3188756823625
2017;837;36;3191256823625
2017;837;325;3193756823625
2017;837;2;3196256823625
2017;837;11;3198756823625
2017;837;3;3201256823625
2017;837;64;3203756823625
2017;837;1;3206256823625
2017;837;104;3208756823625
2017;837;2;3211256823625
2017;837;3;3213756823625
2017;837;110;3216256823625
2017;837;18;3221256823625
2017;837;28;3223756823625
2017;837;6;3233756823625
2017;837;8;3236256823625
2017;837;14;3238756823625
2017;837;12;3241256823625
2017;837;19;3243756823625
2017;837;60;3246256823625
2017;837;34;3248756823625
2017;837;161;3251256823625
2017;837;9;3281256823625
2017;005;74;3386256989375
2017;005;20;3388756989375
2017;005;74;3391256989375
2017;005;5;3393756989375
2017;005;136;3396256989375
2017;005;1;3431256989375
2017;005;1;3328756989625
2017;005;8;3331256989625
2017;005;1;3333756989625
2017;005;3;3336256989625
2017;005;31;3346256989625
2017;005;1;3366256989625
2017;005;1;3376256989625
2017;005;9;3378756989625
2017;005;51;3381256989625
2017;005;16;3383756989625
2017;005;187;3386256989625
2017;005;97;3388756989625
2017;005;30;3391256989625
2017;005;2;3316256989875
2017;005;2;3323756989875
2017;005;1;3333756989875
2017;005;1;3371256989875
2017;005;48;3381256989875
2017;005;9;3386256989875
2017;005;49;3388756989875
2017;005;10;3321256990125
2017;005;2;3323756990125
2017;005;1;3326256990125
2017;005;3;3328756990125
2017;005;4;3371256990125
2017;005;2;3376256990125
2017;005;62;3381256990125
2017;837;20;3283756823625
2017;837;142;3286256823625
2017;837;118;3288756823625
2017;837;408;3291256823625
2017;837;4;3293756823625
2017;837;7;3296256823625
2017;837;1;3301256823625
2017;837;9;3361256823625
2017;837;2;3366256823625
2017;837;7;3368756823625
2017;837;14;3371256823625
2017;837;5;3373756823625
2017;837;2;3378756823625
2017;837;19;3176256823875
2017;837;96;3181256823875
2017;837;7;3186256823875
2017;837;5;3188756823875
2017;837;1;3191256823875
2017;837;1;3193756823875
2017;837;5;3196256823875
2017;837;1;3198756823875
2017;837;34;3201256823875
2017;837;44;3203756823875
2017;837;169;3206256823875
2017;837;7;3208756823875
2017;837;2;3211256823875
2017;837;2;3213756823875
2017;837;488;3216256823875
2017;837;44;3223756823875
2017;837;126;3226256823875
2017;837;179;3228756823875
2017;837;16;3231256823875
2017;837;47;3233756823875
2017;837;84;3236256823875
2017;837;28;3238756823875
2017;837;17;3241256823875
2017;837;5;3281256823875
2017;837;41;3283756823875
