mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
980;wem;2017;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2017;bussi;0;0;0.994;0.005;0;0;0;0;0
980;wem;2017;raide;0;0;0;0;0;0;1;0;0
980;wem;2017;hlauto;0.518;0.001;0.461;0.006;0.009;0.003;0.001;0;0
980;wem;2017;muu;0;0;0;0;0;0;0;0;1
980;wem;2017;pauto;0.013;0;0.985;0.001;0;0;0.001;0;0
980;wem;2017;kauto;0;0;0.999;0.001;0;0;0;0;0
980;wem;2018;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2018;bussi;0;0;0.992;0.005;0;0;0.002;0;0
980;wem;2018;raide;0;0;0;0;0;0;1;0;0
980;wem;2018;hlauto;0.517;0.001;0.459;0.006;0.012;0.003;0.001;0;0
980;wem;2018;muu;0;0;0;0;0;0;0;0;1
980;wem;2018;pauto;0.013;0;0.984;0.001;0;0;0.001;0;0
980;wem;2018;kauto;0;0;0.998;0;0;0.001;0.001;0;0
980;wem;2019;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2019;bussi;0;0;0.99;0.006;0;0;0.004;0;0
980;wem;2019;raide;0;0;0;0;0;0;1;0;0
980;wem;2019;hlauto;0.519;0.001;0.453;0.007;0.013;0.003;0.002;0;0
980;wem;2019;muu;0;0;0;0;0;0;0;0;1
980;wem;2019;pauto;0.012;0;0.984;0.002;0;0;0.002;0;0
980;wem;2019;kauto;0;0;0.996;0;0;0.002;0.002;0;0
980;wem;2020;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2020;bussi;0;0;0.988;0.006;0;0;0.006;0;0
980;wem;2020;raide;0;0;0;0;0;0;1;0;0
980;wem;2020;hlauto;0.518;0.001;0.45;0.007;0.016;0.003;0.003;0;0
980;wem;2020;muu;0;0;0;0;0;0;0;0;1
980;wem;2020;pauto;0.012;0;0.983;0.002;0;0;0.003;0;0
980;wem;2020;kauto;0;0;0.994;0;0;0.003;0.002;0;0
980;wem;2021;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2021;bussi;0;0;0.982;0.007;0;0;0.011;0;0
980;wem;2021;raide;0;0;0;0;0;0;1;0;0
980;wem;2021;hlauto;0.515;0.001;0.45;0.008;0.018;0.003;0.004;0;0
980;wem;2021;muu;0;0;0;0;0;0;0;0;1
980;wem;2021;pauto;0.013;0;0.98;0.002;0;0;0.004;0;0
980;wem;2021;kauto;0;0;0.991;0;0;0.005;0.004;0;0
980;wem;2022;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2022;bussi;0;0;0.975;0.009;0;0;0.016;0;0
980;wem;2022;raide;0;0;0;0;0;0;1;0;0
980;wem;2022;hlauto;0.512;0.001;0.45;0.008;0.02;0.003;0.005;0;0
980;wem;2022;muu;0;0;0;0;0;0;0;0;1
980;wem;2022;pauto;0.013;0;0.977;0.003;0;0;0.006;0;0
980;wem;2022;kauto;0;0;0.987;0;0;0.007;0.006;0;0
980;wem;2023;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2023;bussi;0;0;0.969;0.01;0;0;0.021;0;0
980;wem;2023;raide;0;0;0;0;0;0;1;0;0
980;wem;2023;hlauto;0.509;0.001;0.45;0.008;0.022;0.003;0.006;0;0
980;wem;2023;muu;0;0;0;0;0;0;0;0;1
980;wem;2023;pauto;0.014;0;0.974;0.003;0;0;0.007;0;0
980;wem;2023;kauto;0;0;0.983;0;0;0.009;0.008;0;0
980;wem;2024;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2024;bussi;0;0;0.963;0.011;0;0;0.026;0;0
980;wem;2024;raide;0;0;0;0;0;0;1;0;0
980;wem;2024;hlauto;0.506;0.001;0.45;0.008;0.023;0.003;0.008;0;0
